parameter,evidence_ids,low_value,base_value,high_value,approvals_at_low,approvals_at_base,approvals_at_high,swing_abs,swing_pct,rank
Candidate inflow multiplier,E-6031;E-5061;E-9004,0.5,1.0,5.0,25.0,50.0,50.0,25.0,50.0,1
Industry R&D budget,E-1041;E-3057;E-3058,0.8,1.0,1.5,26.9053,50.0,50.0,23.0947,46.1894,2
Phase II p(TS),E-1023;E-1020;E-1022;E-1015;E-1018;E-1026;E-1027,0.28,0.34,0.486,41.1765,50.0,63.88,22.7035,45.4071,3
IND-enabling NHP toxicology capacity,E-3050;E-3051;E-9009,0.7,1.0,1.5,28.4437,50.0,50.0,21.5563,43.1126,4
Exogenous non-NME load on shared resources,E-6031;E-5064;E-9023,0.7,1.0,1.3,50.0,50.0,30.358,19.642,39.2841,5
Discovery p(TS) product S1xS2xS3,E-1018;E-9001,0.4,0.51,0.62,39.2157,50.0,51.2568,12.0411,24.0823,6
Phase I p(TS),E-1023;E-1020;E-1022;E-1026;E-1027,0.47,0.54,0.664,43.5185,50.0,55.3312,11.8127,23.6255,7
Phase III p(TS),E-1023;E-1020;E-1022;E-1015,0.578,0.7,0.72,41.2857,50.0,51.37,10.0843,20.1686,8
IND-gate reviewer capacity,E-4024;E-4029;E-9006,0.8,1.0,1.5,42.1777,50.0,50.0,7.8223,15.6446,9
Patients per Phase III programme,E-9008;E-9003,1000.0,1800.0,3000.0,50.0,50.0,42.5656,7.4344,14.8688,10
NDA/BLA review capacity,E-4019;E-4020;E-9022,0.8,1.0,1.5,42.6471,50.0,50.0,7.3529,14.7059,11
"Phase III cost per WIP, USD m",E-1012;E-1004;E-9001,89.3,150.0,245.8,50.0,50.0,43.431,6.569,13.1381,12
Cell + gene share of the pipeline,E-1024;E-6032;E-3095,0.0145,0.0145,0.14,50.0004,50.0004,44.7851,5.2153,10.4305,13
Preclinical p(TS),E-1018;E-1015,0.68,0.69,0.897,49.2754,50.0,54.4495,5.1742,10.3483,14
Aseptic fill-finish capacity,E-6019;E-6066,0.8,1.0,2.0,46.1117,50.0,50.0,3.8883,7.7767,15
Phase III patient-slot capacity,E-5064;E-5063;E-5003,0.8,1.0,1.5,46.3042,50.0,50.0,3.6958,7.3915,16
Filing-to-approval p(TS),E-1015;E-1023;E-1026,0.883,0.91,0.92,48.5358,50.0,50.5423,2.0065,4.013,17
CMC lead time multiplier,E-6008;E-6019;E-6005,0.5,1.0,1.5,50.0,50.0,48.8808,1.1192,2.2383,18
GMP plasmid capacity,E-6008;E-6064,0.8,1.0,2.0,49.5808,50.0,50.0,0.4192,0.8384,19
Clinical duration multiplier S5-S7,E-1005;E-1014;E-1021;E-1025,0.7,1.0,1.35,50.0,50.0,49.9923,0.0077,0.0153,20
Phase I/II clinical capacity,E-5064;E-5020,0.8,1.0,1.5,50.0,50.0,50.0,0.0,0.0,21
Autologous cell-therapy suite capacity,E-6063;E-6014,0.8,1.0,2.0,50.0,50.0,50.0,0.0,0.0,22
mAb drug-substance capacity,E-6060;E-9005,0.8,1.0,2.0,50.0,50.0,50.0,0.0,0.0,23
"Discovery duration, years S1+S2+S3",E-1017;E-9001,0.9,4.5,6.0,50.0,50.0,50.0,0.0,0.0,24
Queue-time coefficient,E-9020,0.05,0.11,0.2,50.0,50.0,50.0,0.0,0.0,25
Discount rate,E-9001;E-9002;E-1001;E-1009,0.0785,0.11,0.115,50.0,50.0,50.0,0.0,0.0,26
