asset_or_claim,company,modality,target,claim_type,claimed_metric,claimed_value,unit,stage_reached,status,outcome,independently_verified,comparator_baseline,sample_n,axis_tested,evidence_ids,notes
AI-discovered molecules Phase I success rate,Boston Consulting Group (Jayatunga et al.),small molecule (mixed),n/a,PoS,Phase I success rate,80-90,%,Phase I,completed,reported above industry average; denominator not disclosed,no,historic industry average stated as ~50-65% by secondary sources; denominator definition not matched,not disclosed (est. 24-73),PoS,E-2001;E-2002;E-2004;E-2066,Authors are BCG employees; work funded by BCG health care practice. Wilson 95% CI at n=24 is 66-94%. Survivorship/selection bias unaddressed by the source.
AI-discovered molecules Phase II success rate,Boston Consulting Group (Jayatunga et al.),small molecule (mixed),n/a,PoS,Phase II success rate,40,%,Phase II,completed,indistinguishable from conventional ~37%,no,conventional Phase II ~37%,not disclosed; only ~8 AI assets have completed Phase 2,PoS,E-2003;E-2011;E-2055;E-2065,"CRUX. Required n to detect 37% vs 40% at 80% power = 4,126 per arm. Observed n ~8. ~500x underpowered."
Projected cumulative clinical PoS uplift 5-10% -> 9-18%,Boston Consulting Group (Jayatunga et al.),small molecule (mixed),n/a,PoS,cumulative clinical PoS,9-18,%,projection,unknown,projection only; no AI molecule had completed Phase III when published,no,historic 5-10%,"modelled, not observed",PoS,E-2005;E-2053,Uses observed Phase I/II plus historic Phase III. Zero AI-derived approvals exist as of mid-2026.
Evidence of clinically relevant AI impact is disappointingly limited,Bender/Thomas/Scannell (Nat Rev Drug Discov),n/a,n/a,PoS,qualitative verdict,unproven,n/a,review,completed,improvement in PoS or timelines unproven,"yes (peer-reviewed, independent of AI vendors)",field-wide,narrative review,both,E-2006,"Most authoritative independent assessment located, published 2026-08-07."
Only 4-9 AI-derived molecules have publicly documented clinical outcomes,"Niazi (Pharmaceuticals, MDPI)",n/a,n/a,census,documented clinical outcomes,9,count,n/a,completed,progression rates similar to traditionally discovered compounds,yes (independent review),traditional compounds,4-9,PoS,E-2007,Directly limits any statistical inference about AI PoS.
Preclinical timeline reduction 30-50%,"Niazi (Pharmaceuticals, MDPI)",n/a,n/a,duration,preclinical timeline reduction,30-50,%,preclinical,completed,clinical development timelines essentially unchanged,partial (review of company reports),"stated norms, no matched cohort",specific applications,duration,E-2008;E-2009,Reduction is confined to preclinical; clinical duration unchanged.
AI-assisted lead optimisation cut screening time 30-50%,Mao & Yan (Front Pharmacol),small molecule,n/a,duration,screening time reduction,30-50,%,discovery,completed,Phase I/II attrition comparable to industry benchmarks,partial,unspecified benchmarks,"20 programmes, 2018-2023",both,E-2010,Duration improved; PoS did not.
"AF2 model prospective docking hit rate, sigma-2 receptor","UCSF Shoichet lab (Lyu et al., Science)",small molecule,sigma-2 receptor,benchmark,prospective hit rate,54,%,in vitro,completed,AF2 54% (64/119) vs crystal 51% (70/138) - parity,"yes (peer-reviewed, prospective)","experimental crystal structure, same protocol",119 compounds tested (AF2 arm),neither,E-2012;E-2013,Strongest positive evidence for AF2 in SBDD. Caveat: targets chosen where AF2 pockets were already close to experimental; functional hit rates only 1-5%.
"AF2 model prospective docking hit rate, 5-HT2A receptor","UCSF Shoichet lab (Lyu et al., Science)",small molecule,5-HT2A receptor,benchmark,prospective hit rate,26,%,in vitro,completed,AF2 26% (42/161) vs cryo-EM 23% (51/223) - parity,yes,experimental cryo-EM structure,161 compounds tested (AF2 arm),neither,E-2012;E-2013,
AF2 rigid-receptor docking loses enrichment vs holo structures,Diaz-Rovira et al. (JCIM),small molecule,multiple,benchmark,enrichment factor,significant drop,fold,retrospective,completed,AF2 underperforms experimental holo structures,yes (peer-reviewed),experimental holo structures,docking benchmark set,neither,E-2014,Negative-direction evidence. Cause: AF2 does not model ligand-induced side-chain relocation.
AF2 vs X-ray vs cryo-EM enrichment across 32 class A GPCRs,Alhumaid & Tawfik,small molecule,32 class A GPCRs,benchmark,mean EF at top 5%,1.82,fold,retrospective,completed,AF2 1.82 vs X-ray 2.24 vs cryo-EM 2.42; hit rates 24.0/29.6/32.0%,yes,experimental structures,32 receptors,neither,E-2015,AF2 is ~19% worse than X-ray and ~25% worse than cryo-EM on enrichment.
"AF2 models perform at apo-structure level, far below holo",JCIM benchmarking study,small molecule,multiple,benchmark,mean EF at top 1%,13.16,fold,retrospective,completed,AF2 13.16 vs apo 11.56 vs holo 24.81,yes,apo and holo experimental structures,benchmark set,neither,E-2016,AF2 is an apo-quality model; the ligand-bound conformation is what SBDD needs.
AlphaFold3 degrades where binding involves >5 A conformational change,bioRxiv comprehensive assessment,n/a,protein-ligand complexes,benchmark,RMSD threshold,5,angstrom,in silico,completed,"accurate for static complexes, degrades with induced fit",partial (preprint),experimental complexes,benchmark set,neither,E-2017,
AlphaFold has not replaced experimental structure determination for drug design,Drug Discovery News (Henderson),n/a,n/a,benchmark,qualitative,not replaced,n/a,n/a,completed,useful where alternative is no structure; insufficient for atomic binding-site chemistry decisions,partial (trade review),experimental structures,field-wide,neither,E-2018,AlphaFold DB >200M structures - scale without demonstrated pipeline output.
ESMFold median TM-score 0.95 vs AlphaFold2 0.96,Comparison study (AF2/ESMFold/OmegaFold),n/a,n/a,benchmark,median TM-score,0.95,TM-score,in silico,completed,near-parity on folding; cannot predict interfaces; cannot distinguish folded from misfolded de novo designs,yes,"AF2, OmegaFold, experimental structures",benchmark protein set,neither,E-2019,Benchmark parity does not translate to design validation utility.
