item_id,modality,sub_area,metric,value,unit,year,region,utilization_pct,lead_time_months,batch_failure_pct,cogs_per_unit,cogs_unit,trend_direction,saturation_multiple,constraint_verdict,evidence_ids,notes
G-001,small_molecule,API / oral solid dose,market size of outsourced small molecule CDMO,71.3,USD billion,2024,global,,,,,,expanding,10.0,slack,E-6021;E-6069,"No utilization figure, shortage metric or booking lead time located for innovator small-molecule API despite targeted search; absence of a lead-time signal in a market this size is itself evidence of slack. Saturation multiple is the loosest estimate in the table."
G-002,small_molecule,regulatory-manufacturing interface,"GMP warning letters citing 21 CFR 211, FY2025",112,letters,2025,US,,,,,,rising,,near_binding,E-6026,"Highest GMP warning letter count in over 20 years; 59% to US facilities. Compliance capacity, not physical capacity, is the tightening variable for small molecule."
G-010,monoclonal_antibody,mammalian drug substance - commercial scale,"installed bioreactor capacity, Samsung Biologics",785000,L,2025,KR,95,,,,,expanding,1.0,binding,E-6003,Company reports full utilization of Plants 1-3 through 2025 and Plant 4 reaching full utilization in Q3 2025. Utilization entered as 95 to represent company-stated 'full'.
G-011,monoclonal_antibody,mammalian drug substance - large scale,"installed bioreactor capacity, Lonza Vacaville",330000,L,2025,US,,,,,,expanding,,near_binding,E-6001,Lonza reports high contracting volumes and +32.2% CER sales growth in Integrated Biologics; no utilization percentage disclosed.
G-012,monoclonal_antibody,IND-enabling clinical drug substance,"supplier-declared IND support capacity, single CDMO",200,INDs per year,2025,CN/global,80,,,,,expanding,4.8,slack,E-6004;E-6060,WuXi Biologics states regulatory submission capacity for ~200 INDs and 20 BLAs/MAAs per year. Clinical tier has headroom; commercial tier does not. Utilization inferred from the stated proxy rule.
G-013,monoclonal_antibody,tech transfer,kickoff to first released GMP batch,12,months,2026,global,,12,,,,flat,,near_binding,E-6033;E-6034,"9-15 months typical, 12-18+ for commercial transfers; Lonza markets a 5-month fast-track best case. Trade-publication source, weak provenance."
G-014,monoclonal_antibody,batch quality,batch rejection rate before/after right-first-time programme,5.2,percent,2025,global,,,5.2,,,improving,,slack,E-6050,GSK case: 5.2% falling to 0.8% in eight months. Establishes the achievable range for established biologics manufacturing; well below CGT failure rates.
G-015,monoclonal_antibody,industry structure,"CDMO share of global biologics capacity, 2028 projection",54,percent,2028,global,,,,,,rising,,slack,E-6054,"Up from 43% in 2024. Vendor model, methodology not public."
G-020,adc,bioconjugation,outsourced bioconjugation market size,2.18,USD billion,2025,global,80,6,,,,expanding,1.19,near_binding,E-6020;E-6065,"TIGHTNESS CLAIM NOT VERIFIED BY A UTILIZATION OR BOOKING-LEAD-TIME MEASUREMENT. No CDMO publishes conjugation suite utilization or slot lead time; the 80% utilization and 6-month lead time are inferred under the stated proxy rule, not observed."
G-021,adc,bioconjugation suite count,"Lonza Visp conjugation suites, current to planned",5,suites (going to 7),2025,CH,,,,,,expanding,1.67,near_binding,E-6020;E-6065,+40% suites at one flagship site. Demand growth of 20-30%/yr consumes that expansion in roughly two years.
