evidence_id,figure,claimed_origin,hop1,hop2,hop3,origin_reached,origin_type,circular_verdict,shared_origin_group,notes
E-1001,capitalized_cost_per_approved_drug=2558.0 USD_million_2013,"DiMasi/Grabowski/Hansen 2016, J Health Econ 47:20-33",https://scholars.duke.edu/display/pub1123333,https://www.sciencedirect.com/science/article/abs/pii/S0167629616000291,,partial,peer_reviewed,unverifiable,,"ANCHOR 1 (capitalized cost per approved drug). Hop chain reaches the paper record but not its inputs: the 106-compound sample is a confidential 10-firm survey that cannot be re-derived by any third party. The number as commonly repeated (2.6bn / 2.9bn) is FAITHFUL to the origin in value but UNFAITHFUL in framing, because it is routinely quoted without the capitalized basis and 10.5 percent discount rate that produce it. Independent reanalyses reach 985m (Wouters, SEC filings) and 59.4m (Light & Warburton, net of tax relief) from overlapping inputs. FORCE_LOW on the survey-derived per-stage split."
E-1002,out_of_pocket_cost_per_approved_drug=1395.0 USD_million_2013,"DiMasi/Grabowski/Hansen 2016, J Health Econ 47:20-33",https://scholars.duke.edu/display/pub1123333,,,partial,peer_reviewed,unverifiable,SOG-014,"ANCHOR 1 (capitalized cost per approved drug). Hop chain reaches the paper record but not its inputs: the 106-compound sample is a confidential 10-firm survey that cannot be re-derived by any third party. The number as commonly repeated (2.6bn / 2.9bn) is FAITHFUL to the origin in value but UNFAITHFUL in framing, because it is routinely quoted without the capitalized basis and 10.5 percent discount rate that produce it. Independent reanalyses reach 985m (Wouters, SEC filings) and 59.4m (Light & Warburton, net of tax relief) from overlapping inputs. FORCE_LOW on the survey-derived per-stage split."
E-1003,real_annual_growth_of_capitalized_cost=8.5 percent_per_year,"DiMasi JA, Grabowski HG, Hansen RW",https://scholars.duke.edu/display/pub1123333,,,yes,peer_reviewed,clean,SOG-014,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-1004,capitalized_cost_preclinical_stage=1098.0 USD_million_2013,Knowledge Portal (access-to-medicines research compilation),https://www.knowledgeportalia.org/costs-r-d,https://scholars.duke.edu/display/pub1123333,,yes,peer_reviewed,clean,,Tier 2. Deepest hop resolves to a peer_reviewed source; origin reached in 2 hop(s).
E-1006,median_capitalized_cost_per_approved_drug=985.3 USD_million,"Wouters/McKee/Luyten 2020, JAMA 323:844-853",https://pmc.ncbi.nlm.nih.gov/articles/PMC7054832/,,,yes,peer_reviewed,clean,SOG-007,"ANCHOR 1 counter-estimate. Built from SEC filings, so inputs are public and re-derivable. This is the only member of the cost-anchor family whose origin is independently reproducible."
E-1007,observed_preclinical_share_of_RnD_outlay=12.4 percent,"Wouters/McKee/Luyten 2020, JAMA 323:844-853",https://pmc.ncbi.nlm.nih.gov/articles/PMC7054832/,,,yes,peer_reviewed,clean,SOG-007,"ANCHOR 1 counter-estimate. Built from SEC filings, so inputs are public and re-derivable. This is the only member of the cost-anchor family whose origin is independently reproducible."
E-1008,median_capitalized_cost_oncology_immunomodulating=2771.6 USD_million,"Wouters/McKee/Luyten 2020, JAMA 323:844-853",https://pmc.ncbi.nlm.nih.gov/articles/PMC7054832/,,,yes,peer_reviewed,clean,SOG-007,"ANCHOR 1 counter-estimate. Built from SEC filings, so inputs are public and re-derivable. This is the only member of the cost-anchor family whose origin is independently reproducible."
E-1009,median_RnD_spending_per_cancer_drug=648.0 USD_million,"Prasad V, Mailankody S",https://ohsu.elsevierpure.com/en/publications/research-and-development-spending-to-bring-a-single-cancer-drug-t/,,,no,company,unverifiable,,Tier 4. All hops terminate in company material with no disclosed sample or method; no primary source reachable in three hops. FORCE_LOW.
E-1010,median_cost_per_new_drug_LightWarburton=59.4 USD_million,"Light DW, Warburton R",https://link.springer.com/article/10.1057/biosoc.2010.40,http://health-rights.org/index.php/cop/item/demythologizing-the-high-costs-of-pharmaceutical-research,,partial,company,unverifiable,,"Tier 1. Collector flagged circular_risk. A primary-class hop is present, so the claim is attributable, but the collector could not confirm the figure at origin. FORCE_LOW."
E-1011,expected_capitalized_cost_per_approved_drug=879.3 USD_million_2018,"Sertkaya A, Beleche T, Jessup A, Sommers BD",https://pmc.ncbi.nlm.nih.gov/articles/PMC11214120/,,,yes,peer_reviewed,clean,SOG-005,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-1012,mean_out_of_pocket_cost_phase3=89.3 USD_million_2018,"Sertkaya A, Beleche T, Jessup A, Sommers BD",https://pmc.ncbi.nlm.nih.gov/articles/PMC11214120/,,,yes,peer_reviewed,clean,SOG-005,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-1013,nonclinical_share_of_cost_capitalized=40.2 percent,"Sertkaya A, Beleche T, Jessup A, Sommers BD",https://pmc.ncbi.nlm.nih.gov/articles/PMC11214120/,,,yes,peer_reviewed,clean,SOG-005,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-1014,phase3_mean_duration=38.0 months,DiMasi 2016 clinical phase durations; Sertkaya 2024 ASPE model; Brown 2022 development-time analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC11214120/,,,yes,peer_reviewed,clean,SOG-005,"ANCHOR 3 (development duration). Three independent origins reached. The commonly repeated 10-15 year figure is UNFAITHFUL to all three: the measured intervals are 128 months synthesis-to-approval (DiMasi), 147 months (Sertkaya) and 9.1 years clinical (Brown). The 10-15 year band is a rounded-up trade convention with no single source."
E-1015,overall_probability_of_success_from_nonclinical=8.5 percent,"BIO/Informa/QLS, Hay 2014, Wong-Siah-Lo 2019, Paul 2010 - four independent lineages",https://pmc.ncbi.nlm.nih.gov/articles/PMC11214120/,,,yes,peer_reviewed,clean,SOG-005,"ANCHOR 2 (clinical success rates). Four independent origins reached with disclosed denominators. The commonly repeated 7-14 percent range IS faithful, but only because it is a range spanning four incompatible denominator definitions; any single point estimate quoted from it is not faithful. Cross-agent recurrence with C and X records on the same object."
E-1016,capitalized_cost_oncology=1209.2 USD_million_2018,"Sertkaya A, Beleche T, Jessup A, Sommers BD",https://pmc.ncbi.nlm.nih.gov/articles/PMC11214120/,,,yes,peer_reviewed,clean,SOG-005,Tier 4. Deepest hop resolves to a peer_reviewed source; origin reached in 1 hop(s).
E-1018,phase2_probability_of_technical_success=34.0 percent,"BIO/Informa/QLS, Hay 2014, Wong-Siah-Lo 2019, Paul 2010 - four independent lineages",https://www.nature.com/articles/nrd3078,https://www.knowledgeportalia.org/r-d-time-and-success-rate,,yes,peer_reviewed,clean,SOG-015,"ANCHOR 2 (clinical success rates). Four independent origins reached with disclosed denominators. The commonly repeated 7-14 percent range IS faithful, but only because it is a range spanning four incompatible denominator definitions; any single point estimate quoted from it is not faithful. Cross-agent recurrence with C and X records on the same object."
E-1019,capitalized_cost_per_launch=1778.0 USD_million,Paul SM et al.,https://www.nature.com/articles/nrd3078,https://www.knowledgeportalia.org/costs-r-d,,partial,aggregator,clean,SOG-015,"Tier 4. Deepest hop is aggregator, but an earlier hop reaches a primary-class source, so the origin chain is intact through the relay."
E-1020,overall_probability_of_success_from_phase1=13.8 percent,"BIO/Informa/QLS, Hay 2014, Wong-Siah-Lo 2019, Paul 2010 - four independent lineages",https://academic.oup.com/biostatistics/article/20/2/273/4817524,,,yes,peer_reviewed,clean,SOG-016,"ANCHOR 2 (clinical success rates). Four independent origins reached with disclosed denominators. The commonly repeated 7-14 percent range IS faithful, but only because it is a range spanning four incompatible denominator definitions; any single point estimate quoted from it is not faithful. Cross-agent recurrence with C and X records on the same object."
E-1021,oncology_overall_probability_of_success=3.4 percent,"BIO/Informa/QLS, Hay 2014, Wong-Siah-Lo 2019, Paul 2010 - four independent lineages",https://academic.oup.com/biostatistics/article/20/2/273/4817524,,,yes,peer_reviewed,clean,SOG-016,"ANCHOR 2 (clinical success rates). Four independent origins reached with disclosed denominators. The commonly repeated 7-14 percent range IS faithful, but only because it is a range spanning four incompatible denominator definitions; any single point estimate quoted from it is not faithful. Cross-agent recurrence with C and X records on the same object."
E-1022,phase1_to_approval_likelihood=10.4 percent,"BIO/Informa/QLS, Hay 2014, Wong-Siah-Lo 2019, Paul 2010 - four independent lineages",https://www.nature.com/articles/nbt.2786,https://www.knowledgeportalia.org/r-d-time-and-success-rate,,yes,peer_reviewed,clean,,"ANCHOR 2 (clinical success rates). Four independent origins reached with disclosed denominators. The commonly repeated 7-14 percent range IS faithful, but only because it is a range spanning four incompatible denominator definitions; any single point estimate quoted from it is not faithful. Cross-agent recurrence with C and X records on the same object."
E-1023,phase1_likelihood_of_approval=7.9 percent,"BIO/Informa/QLS, Hay 2014, Wong-Siah-Lo 2019, Paul 2010 - four independent lineages",https://go.bio.org/rs/490-EHZ-999/images/ClinicalDevelopmentSuccessRates2011_2020.pdf,https://www.readkong.com/page/clinical-development-success-rates-and-contributing-factors-6942827,,yes,peer_reviewed,clean,SOG-008,"ANCHOR 2 (clinical success rates). Four independent origins reached with disclosed denominators. The commonly repeated 7-14 percent range IS faithful, but only because it is a range spanning four incompatible denominator definitions; any single point estimate quoted from it is not faithful. Cross-agent recurrence with C and X records on the same object."
