item,queries_tried,failure_reason,alt_sources_tried,best_estimate,best_estimate_basis
"B12 (IP/FTO) yields only three credible candidate technologies, exactly the mandated floor",(1) 'USPTO AI inventorship guidance 2024 2026 patentability AI-generated protein sequences genus claims biotech'; (2) 'antibody patent thicket freedom to operate AI generated sequence prior art defensive publication 2026 biologics IP congestion'; (3) targeted follow-through on ADC layered FTO and on Amgen v. Sanofi genus-claim consequences within those result sets,"Searches returned legal commentary and office guidance rather than additional distinct technologies. The candidate space is genuinely thin: beyond (a) the inventorship rule itself, (b) mass defensive publication, and (c) AI-assisted FTO search, no further mechanism surfaced that changes patentability or congestion for AI-generated sequences. Blockchain sequence-provenance registries and patent-pool structures appeared only as proposals with no operating instance.",Federal Register 2024 and 2025 inventorship guidance; USPTO subject-matter-eligibility guidance page; Holland & Knight and Venner Shipley legal analyses; Trends in Biotechnology antibody-patentability review; IP.com defensive-publishing commentary; Cypris ADC FTO landscape; DrugPatentWatch AI-IP analysis (seven distinct sources),Three is the correct count of credible candidates as of August 2026; the true residual uncertainty is judicial rather than technological,"[INFER] The unresolved question in B12 is how much human contribution suffices for inventorship when a model generates thousands of sequences and a human selects one. The USPTO's November 2025 revision explicitly discontinued the joint-inventorship factor test [E-8066] without replacing it with a quantitative threshold, and Amgen v. Sanofi governs genus scope [E-8067]. Both are resolved by litigation, not by tooling. B12's elasticity point estimate is 0.3, so the scarcity has low decision cost."
"B13 (talent/absorptive capacity) yields only three credible candidate technologies, exactly the mandated floor",(1) 'biopharma talent shortage 2026 AI copilot scientist productivity training programs cell gene therapy workforce apprenticeship NIIMBL'; (2) 'clinical trial site capacity shortage 2026 community oncology research network NCI NCORN pragmatic trial embedded registry-based randomized trial cost reduction' (surfaced site-staffing evidence); (3) 'self-driving laboratory autonomous experimentation biology 2026 cloud lab closed-loop DBTL cycle acceleration demonstrated' (tested automation-as-substitution),"Every additional item surfaced reduced to one of the three catalogued mechanisms: AI augmentation of existing staff, formal training pipelines, or automation substitution. Immigration policy, compensation restructuring and outsourcing to CDMOs appeared in recruiter commentary but are neither technologies nor mechanisms with a measurable readiness state.",NIIMBL/NIST project announcements; Wistar BioPATH; EuroGCT training provider registry; Benchling 2026 Biotech AI Report; ManpowerGroup life sciences outlook; Panda International hiring analysis; Nature debate on robot labs replacing biologists (seven distinct sources),"Three is the correct count; the scarce input is accumulated judgement, which no technology produces faster than time","[INFER] Training programmes operate at dozens per cohort [E-8070] against senior-role searches running six to nine months [E-8071]. Automation converts a technician shortage into an automation-engineer shortage. The one mechanism operating at scale, AI copilots [E-8069], has a plausible negative sign because copilot fluency can substitute for the judgement that constitutes absorptive capacity. A bottleneck whose binding input is career-length experience does not have a technological form."
"B14 (biosecurity/model regulation) yields only three credible candidate technologies, exactly the mandated floor",(1) 'nucleic acid synthesis screening SecureDNA IBBIS Common Mechanism 2026 executive order biosecurity AI biodesign tool safeguards'; (2) 'AI biosecurity 2026 frontier model biological capability evaluations structured access protein design screening Microsoft paraphrasing vulnerability'; (3) follow-through within those result sets on RAND capability-scoring and Frontier Model Forum reporting tiers,"The mechanism space is small by construction. Order screening, screening hardening against generative evasion, and access gating with capability evaluations exhaust the deployed approaches. Benchtop-synthesiser hardware attestation and international treaty verification appeared as proposals with no operating instance.",OSTP nucleic acid synthesis screening framework; SecureDNA compliance documentation; three separate 2026 Frontiers in Bioengineering papers on screening implementation and governance asymmetries; Microsoft Research Paraphrase Project publication and story pages; Frontier Model Forum issue brief; RAND perspective on measuring biological capabilities; SecureBio 2025 review; CSIS analysis (nine distinct sources),Three is the correct count; B14 is a real problem and not a rate-limiting step for drug output,"[INFER] B14's elasticity point estimate is 0.1, the lowest in Agent C's matrix. The object being governed is adversary choice, and screening is reactive by construction: the Paraphrase Project showed AI-redesigned toxin sequences evading screens before patches were written [E-8075]. These technologies carry high societal value and close to zero effect on annual approvals, and conflating the two would be the error to avoid."
Quantitative predictive performance (sensitivity/specificity) of the specific liver microphysiological system accepted into FDA ISTAND,(1) 'drug-induced liver injury prediction liver microphysiological system DILI ISTAND qualification Emulate CN Bio 2026 performance sensitivity specificity'; (2) 'FDA Modernization Act 3.0 2025 New Approach Methodologies roadmap organ-on-chip qualification status 2026'; (3) 'organoid intelligence patient-derived organoid clinical trial predictivity 2026 humanized mouse immune system translation preclinical concordance',"ISTAND letter-of-intent contents are not public at the performance-metric level, and the participating vendors publish qualitative capability claims rather than a benchmarked confusion matrix against a defined compound set. FDA's ISTAND announcement states the acceptance without performance data.",FDA ISTAND announcement page; CN Bio DILI service and in vitro hepatotoxicity pages; Emulate regulatory-timeline page; Taylor & Francis review on liver complex in vitro models in preclinical drug safety; PMC comprehensive organotypic/MPS evaluation; PMC review on mechanistic prediction of idiosyncratic DILI; Nature Communications human toxicogenomics resource (seven distinct sources),"Best available proxy: 69 percent sensitivity at 100 percent specificity, from primary human hepatocyte spheroids across 70 hepatotoxic compounds and 53 negative controls","E-8030 is the most rigorous published head-to-head evaluation of human liver models with a stated compound set and both operating characteristics. [INFER] A perfused MPS should perform at or modestly above spheroid performance because it adds flow and non-parenchymal cells, so 69-80 percent sensitivity at high specificity is the defensible working range until the qualification package is published."
Date on which FDA will issue a qualification decision for any liver MPS drug development tool,(1) 'drug-induced liver injury prediction liver microphysiological system DILI ISTAND qualification Emulate CN Bio 2026 performance sensitivity specificity'; (2) 'FDA Modernization Act 3.0 2025 New Approach Methodologies roadmap organ-on-chip qualification status 2026'; (3) 'FDA AI drug development guidance January 2025 credibility framework ICH E6 R3 real-world evidence regulatory acceptance 2026 final',"FDA does not publish target dates for qualification decisions, and the DDT process has three sequential stages with no statutory clock. Reporting as of 2026 characterises FDA qualification as narrow and still largely unfinished.",FDA ISTAND press announcement; FDA NAM programme page; FDA animal-testing roadmap PDF; IntuitionLabs organ-on-chip qualification analysis; Emulate regulatory timeline; Healio coverage of FDA animal-testing shift (six distinct sources),2028-2031 for a first liver MPS qualification with a stated context of use,"[INFER] The letter of intent was accepted September 2024 [E-8003] and is step one of three. The March 2026 NAM draft guidance supplies the evaluative framework that was previously missing [E-8001], which should shorten the remaining stages relative to pre-2026 expectations. Four to seven years from LOI acceptance is consistent with the pace of prior DDT qualifications."
Primary completion date and readout window for the trontinemab Phase 3 TRONTIER programme,(1) 'blood-brain barrier transferrin receptor shuttle Denali ATV Roche Brainshuttle clinical data 2026 trontinemab'; (2) 'machine learning AAV capsid engineering Dyno Therapeutics Voyager TRACER clinical trial 2026 CNS crossing capsid'; (3) 'focused ultrasound blood brain barrier opening clinical trial 2026 Insightec Exablate drug delivery Alzheimer glioma results',"Search results confirmed Phase 3 initiation and reported the Phase Ib/IIa amyloid results, but did not surface a registry-stated primary completion date. Sponsor pipeline pages were not reachable within the searches performed.",ALZFORUM trontinemab therapeutics entry; PMC interim biomarker publication; Patsnap Phase II analysis; Wikipedia Brainshuttle entry; Drug Delivery Leader BBB review; bioRxiv preclinical TfR shuttle preprint (six distinct sources),"Primary completion 2027-2028, with regulatory action plausible 2028-2029","[INFER] Phase 3 anti-amyloid programmes have run roughly 18 months of treatment plus enrollment. Phase Ib/IIa results reported in 2025 with 91 percent amyloid PET negativity at 28 weeks [E-8016] and Phase 3 initiation following, which places primary completion in the 2027-2028 window on standard anti-amyloid trial durations."
Measured review times achieved under the FDA Commissioner's National Priority Voucher pilot against a matched comparator,(1) 'FDA Elsa generative AI reviewer tool 2025 2026 Commissioner National Priority Voucher review time results'; (2) 'biotech funding mechanisms 2026 focused research organization advance market commitment priority review voucher sale price royalty financing venture debt'; (3) 'FDA AI drug development guidance January 2025 credibility framework ICH E6 R3 real-world evidence regulatory acceptance 2026 final',The pilot is recent and FDA has published programme description and FAQs rather than outcome data. No independent evaluation with a matched comparator group has been published.,FDA CNPV programme page; FDA CNPV FAQ press announcement; Fierce Biotech launch coverage; BioSpace FDA policy tracker 2026; Lowenstein Sandler PRV client alert; BIO convention PRV programme materials (six distinct sources),"Stated target is 1-2 months against a 10-12 month standard; realised median unknown, and any realised gain is a reallocation of a fixed reviewer pool rather than a capacity increase","E-8046 records the FDA-stated target. [INFER] Because reviewer headcount is fixed by appropriation and the agency absorbed a budget reduction in the same period, accelerating voucher applications necessarily slows others; total approvals per year should be treated as unchanged absent evidence to the contrary. B5's elasticity point estimate of 0.4 is consistent with this reading."
Independent (non-vendor) validation of AI immunogenicity/anti-drug-antibody prediction performance,(1) 'AI immunogenicity prediction anti-drug antibody MHC-II epitope deimmunization 2026 validation prospective'; (2) 'AI toxicity prediction model 2026 cardiotoxicity hERG secondary pharmacology benchmark prospective validation failure rate preclinical safety'; (3) 'federated learning pharma consortium MELLODDY successor 2026 data sharing negative results Polaris benchmark reproducibility' (tested whether benchmark platforms cover immunogenicity),Published performance figures for the leading platform originate from the platform developer's own conference materials and internal validation sets with undisclosed sample size. The 2026 review literature discusses methods and workflows without an independent blinded benchmark. No immunogenicity benchmark exists on the public benchmarking platforms surfaced.,PEGS Boston 2026 immunogenicity programme; Frontiers in Immunology 2026 review of ML in preclinical immunogenicity risk assessment; Bioanalysis 2026 review on AI and real-world evidence in immunogenicity workflows; GenScript developability materials; arXiv MHC-II multi-scale prediction preprint; Polaris benchmarking platform (six distinct sources),Vendor-reported three-fold correlation improvement with over 75 percent of predictions within 10 percent of observed ADA is the only quantified figure available; treat the true independent performance as unestablished,"E-8029 is a vendor claim and is recorded as secondary with the vendor in authors_or_org so Agent R can apply S4. [INFER] Clinical ADA incidence is driven substantially by aggregation, formulation, dose interval and patient HLA distribution, none of which a sequence-level epitope predictor models, so independent performance should be expected to fall below the vendor figure."
AAV cost of goods per dose before and after conversion to a stable producer cell line process,(1) 'AAV manufacturing yield stable producer cell line perfusion intensification 2026 titer improvement gene therapy cost of goods'; (2) 'enzymatic DNA synthesis plasmid-free doggybone DNA GMP scale 2026 Touchlight Ansa Biotechnologies DNA Script'; (3) 'continuous bioprocessing monoclonal antibody 2026 intensified perfusion digital twin process control model predictive real-time release PAT',Cost of goods per dose is commercially sensitive and is not disclosed by manufacturers or CDMOs. Sources report titre uplift and qualitative cost-reduction statements without a denominator or a per-dose figure.,Molecular Therapy Methods & Clinical Development perfusion-enhanced-expression paper; Cytiva ELEVECTA materials and PDF; BioPharm International proprietary cell-line article; Frontiers AAV process intensification paper; Insights Bio high-throughput screening article; BioProcess Tools yield guide (six distinct sources),"Titre uplift of 3-6x with elimination of plasmid and transfection reagent cost; a 2-4x reduction in upstream cost per dose is the defensible working range, with total cost of goods reduction smaller because downstream full/empty separation is unchanged","E-8022 gives the titre uplift with a bioreactor-confirmed figure. [INFER] Upstream cost scales inversely with titre only to the extent that plasmid and transfection reagents dominate; downstream purification cost scales with total capsid rather than with full capsid, so a titre gain that does not improve the full/empty ratio propagates only partially to cost per dose."
Independent confirmation that FDA has formally qualified zero sensor-derived clinical endpoints,(1) 'digital endpoint qualification wearable actigraphy stride velocity 95th centile EMA FDA 2025 2026 first qualified digital endpoint'; (2) 'ctDNA MRD accelerated approval endpoint FDA ODAC 2024 2026 multiple myeloma MRD biomarker qualification digital endpoint wearable'; (3) 'protocol design complexity reduction 2026 TransCelerate DCRI eligibility criteria simplification digital protocol CDISC USDM machine readable' (tested for adjacent qualification records),"The count of zero comes from a single independent analyst post. The FDA DDT qualification programme listings were not retrieved directly within the searches performed, so the count is corroborated in direction but not independently enumerated.",Scientific Reports paper on the evidentiary basis of the first qualified digital primary efficacy endpoint; Journal of Neuromuscular Diseases SV95C qualification paper; Frontiers in Digital Health 2026 systematic review on real-world walking speed regulatory status; Defeat Duchenne Canada announcement; Punktum sponsor guide to wearables; AGRIS multi-stakeholder perspective record (six distinct sources),"Zero FDA-qualified sensor-derived endpoints is very likely correct as of mid-2026; exactly one EMA qualification exists (SV95C, July 2023)","E-8080 states the count directly and E-8078 independently confirms that SV95C's EMA qualification was the first of its kind and that FDA review was still in progress. [INFER] Two sources agreeing that the EMA qualification was a first, combined with no source anywhere in 36 searches naming an FDA-qualified sensor endpoint, makes the zero count the strongly favoured reading."
