item,queries_tried,failure_reason,alt_sources_tried,best_estimate,best_estimate_basis
X-U1 Regulator-sourced year-by-year count of AI-derived INDs 2018-2026,"""AI-discovered"" OR ""AI-derived"" molecules entering clinical trials per year cumulative 2016 2018 2020 2022 2024 annual number first-in-human | number of AI-discovered drug molecules in clinical trials by year 2021 2022 2023 2024 2025 growth pipeline count doubling | ""AI-first"" biotech ""15"" molecules in clinical trials March 2022 BCG Wellcome 150 discovery pipeline Jayatunga coming wave | FDA IND tagged by discovery method AI provenance field","No regulator records discovery method on an IND, and no clinical registry carries an AI-provenance field, so no official annual series exists. Every available count is a private census with a self-set inclusion rule, and the four accessible anchors use three different rules (AI-native company assets; AI-enabled including pharma partnerships; AI-discovered with documented clinical outcomes).","BCG/Nature Reviews Drug Discovery landing page (HTTP 403); Science AAAS blog 'AI Drugs So Far' (HTTP 403); OECD AI in Science chapter (HTTP 403); Frontiers in Pharmacology 2026 review (fetched, gives programme-level not annual counts); ScienceDirect Niazi 2024 census (abstract only)","Cumulative AI-derived clinical-stage molecules: about 15 in early 2022, 67 in April 2024, over 75 at end-2024, 117 in December 2025; implied doubling time 1.2-2.1 years, central 1.5 years","Four independent census anchors [E-9516 and Agent B E-2054/E-2071/E-2072 lineage], pairwise doubling times computed in [E-9517]. The definitional drift between anchors biases the ratio upward, so the doubling time is a lower bound on the true doubling interval; every plausible tightening of the inclusion rule lowers both endpoints and leaves the interval roughly intact."
"X-U2 Measured effect of AI on clinical development design decisions (dose, endpoint, population)",FDA Project Optimus dose optimization oncology inadequate dose selection cause of phase 3 failure percentage post-marketing dose changes | in silico clinical trials virtual control arm regulatory qualification model-informed drug development replacing patients 2026 FDA | AI trial design endpoint selection measured effect success rate controlled comparison,"The literature measures AI applied to patient matching and to protocol operational burden. No study located measures whether AI-assisted dose, endpoint or population selection changes the probability that a pivotal trial succeeds, which is the channel with the largest plausible effect and no measurement.","ASCO/JCO Project Optimus postmarketing-requirement analysis (abstract only, no AI arm); EMA virtual control group draft qualification opinion (preclinical scope only); FDA/EMA ten Guiding Principles of Good AI Practice January 2026 (principles, no effect size); Clinical Pharmacology and Therapeutics 2025 review of AI-driven clinical trials (descriptive)",No controlled measurement exists as of August 2026; the size of the addressable problem is bounded by the 48 percent of Phase III patients requiring dose modification at the Phase I recommended dose,"[E-9531] bounds the size of the design-error class. Absent any measured AI effect, the honest position is that this channel is unmeasured rather than absent, and that the Amdahl ceiling derived from discovery's share of time and cost does not bound it, because a clinical-design improvement acts inside the clinical stages."
"X-U3 Published elasticity of a health-outcome measure, rather than approval count, to any pipeline factor",elasticity of annual drug approvals to R&D input published estimate | health outcome per approved drug quality-adjusted life years produced per approval trend | Deloitte forecast asset value per approval outcome-weighted productivity measure,"The entire elasticity framework in this run, and in the published literature it draws on, uses annual approvals as system output. No published study estimates the elasticity of an outcome-weighted measure (life-years, QALYs, or burden-of-disease displaced) to any pipeline factor, so the distortion introduced by counting approvals cannot be quantified.","Deloitte annual R&D returns series (asset-value based, not outcome based); Norstella/Citeline productivity analyses (approval-count based); the Japanese conditional-approval withdrawal record, which demonstrates the distortion exists but does not size it",The distortion is material and directionally tilts any approval-count ranking toward factors that raise the count of small single-arm rare-disease approvals and away from factors that raise effect size in common disease,"Reasoning from the Japanese case in Agent E's regional section, where two of five conditional approvals were withdrawn after confirmatory failure, so that route raised the approval count and lowered durable output. No number is asserted."
X-U4 Count of programmes started that would not have started absent AI structure prediction,AI enabled previously undruggable targets new programs started structure prediction opened targets that could not be prosecuted evidence 2025 2026 | AlphaFold impact measured drug discovery new targets structures enabled 2024 2025 critique limited impact hit rate | number of novel first-in-class drug targets entering clinical development per year trend 2010 2020 unique targets in clinical pipeline growth,"The counterfactual is not recorded by anyone. Reviews assert that AI is expanding the druggable space but none counts programmes attributable to a predicted structure, and the aggregate trend runs the other way, with novel targets entering the pipeline falling to 30 in 2024.","Nature Biotechnology 'Redefining druggable targets with artificial intelligence' (assertive, no counterfactual count); Chemical Reviews 'Computer-Aided Drug Discovery for Undruggable Targets' (methodological); DeepMind five-years-of-impact post (usage statistics, not programme counts); L.E.K. novel-target series (counts novel targets but does not attribute them to AI)","Zero to low tens of programmes as of 2026, and not distinguishable from zero in the aggregate novel-target series","The aggregate series moves the wrong way for a large effect: novel targets entering the pipeline fell from about 100 a year to 30 in 2024 while the pipeline doubled [E-9509]. If AI-enabled structures were opening targets at scale, that series would not be falling. This is the single measurement that would most sharpen finding X-01, in either direction."
X-U5 Exact current entry count of FDA's Table of Surrogate Endpoints,FDA table of surrogate endpoints used as basis of approval number of entries 2024 2025 adult surrogate endpoint table count | fda.gov table-surrogate-endpoints-were-basis-drug-approval-or-licensure,"The FDA page states the table exists and is updated roughly twice a year; secondary sources give 'over 200' without a dated count, and fda.gov returns HTTP 401/403 to the available fetch tooling in this environment, as Agents A, E and F independently recorded.","FDA table page (401/403 to fetch tool); Federation of American Scientists analysis (gives 'over 200', no dated count); Kelley Drye analysis of the accelerated approval draft guidance (qualitative); Journal of Law, Medicine and Ethics review (qualitative)",Over 200 entries across adult and paediatric sections as of 2025,"[E-9528], corroborated by Agent E's independent recovery of the same figure from a different route. The precision does not matter for finding X-14: the argument turns on the accepted set being one to two orders of magnitude larger than the 11 formally qualified biomarkers, which holds at any count above about 100."
"X-U6 Like-for-like comparison of registrational trial capacity, China versus United States",China share of global first-in-human oncology trial starts 2024 2025 percent versus United States trial initiations | China clinical trial registrations growth 2015 2025 number of new drug clinical trials initiated China per year CDE registry | FDA acceptance China-only clinical trial data sintilimab ODAC 2022 multiregional clinical trial requirement applicability US population,"Published comparisons count all trials or all oncology trials. None separates registrational trials intended to support a US or EU marketing application from domestically-intended trials, which is the quantity that determines whether the pivotal ceiling relocates.","CDE 2024 annual clinical trial report via Covington (gives 337 multiregional of 2,539 innovative-drug trials, which is the closest available proxy); ITIF June 2026 report (shares, not registrational counts); ESMO Open globalisation-of-oncology-trials analysis (geographic distribution, not registrational intent); Clinical Trials Arena analyst commentary (shares only)","Chinese registrational capacity aimed at US or EU filings is roughly 13 percent of Chinese innovative-drug trials, so the pivotal ceiling relocates far less than the total-trial ceiling does","337 multiregional of 2,539 innovative-drug trials in 2024 = 13.3 percent [E-9519], combined with the ODAC 14-1 vote requiring a US-applicable trial for a China-only pivotal dataset [E-9523]. This is the load-bearing quantity behind the partial verdict on finding X-13 and it is a proxy rather than a direct measurement."
X-U7 Exact current entry count and distinct-marker count of FDA's Table of Surrogate Endpoints,"FDA table of surrogate endpoints used as basis of approval number of entries 2024 2025 adult surrogate endpoint table count | FDA ""Table of Surrogate Endpoints"" structure disease column entries ""intermediate clinical endpoint"" how many rows list adult table 2025 | fda.gov table-surrogate-endpoints-were-basis-drug-approval-or-licensure","fda.gov returns HTTP 401/403 to the available fetch tooling on every path attempted, as Agents A, E and F independently recorded. The peer-reviewed analysis of the table establishes its structure and gives 'over 100 disease/use and patient population combinations' at the sixth update, and secondary carriers give 'over 200' without a dated count or a distinct-marker figure.","FDA table page (401/403); Frontiers in Medicine 2022 analysis of the table (fetched: gives structure and the >100 combinations figure, not a current row count); Federation of American Scientists 2025 analysis (fetched: gives 'over 200', no dated count, no distinct-marker figure); Journal of Law Medicine and Ethics review (qualitative only)","Over 200 disease-use-population pairings as of 2025, corresponding to a materially smaller number of distinct surrogate markers, plausibly 100 to 150","[E-9546] establishes that the unit of count is a disease-or-use by patient-population by endpoint pairing, and [E-9528] gives the over-200 total. The distinct-marker count must be smaller because a single marker such as LDL cholesterol or viral load recurs across many disease-population rows. The imprecision does not affect finding X-29, whose argument turns on the accepted set being one to two orders of magnitude larger than the eight formally qualified biomarkers, which holds at any count above about 80."
X-U8 Primary source behind the 10.7 percent versus 1.6 percent biomarker-guided success figure,"Wong Siah Lo 2019 biostatistics clinical trial success rates biomarker ""10.7"" OR ""1.6"" percent trials with biomarkers versus without probability of success | biomarker enriched trials likelihood of approval double 15.9% versus 7.6% BIO Informa patient selection biomarker success rate | 17368 drug development trajectories 2000 2015 biomarker guided patient selection success rate","The Frontiers in Immunology 2025 review that carries the figure cites it only by reference number, and the reference list was not resolvable from the fetched full text. The sample description (17,368 development trajectories, 2000-2015) is consistent with the Wong, Siah and Lo Biostatistics 2019 dataset, but that paper's published biomarker contrast as recorded elsewhere in this ledger is 10.3 against 5.5 percent, not 10.7 against 1.6, so the identification is not established.","Wong, Siah and Lo 2019 in Biostatistics via Oxford Academic and PubMed (abstract only; the biomarker contrast is not in the abstract); the 2019 corrigendum record; the MIT DSpace deposit of the same paper; the NBER working paper by the same group","The direction is robust and the magnitude is not: three independent datasets put the biomarker-selection contrast at roughly two-fold (15.9 against 7.6 percent; 10.3 against 5.5 percent), and the 6.7-fold figure is the outlier","[E-9541] carries the 10.7 against 1.6 figure with circular_risk set true precisely because the origin was not reached. The B17 elasticity band [E-9544] is set from the replicated two-fold effect and explicitly does not use the 6.7-fold figure, so no conclusion in this pass depends on resolving the identification."
X-U9 Whether any of the 232 FORCE_LOW records would resolve to a clean origin under paid database access,Tufts CSDD investigative sites study 11% enrolled no patients 37% under-enrolled 16000 sites 151 trials original publication Impact Report | Tufts CSDD Impact Report full text access | Citeline Biomedtracker methodology cohort definition disclosed | Mordor Intelligence viral vector suite utilization methodology sample,"The dominant termination classes in the unverifiable and circular sets are paywalled subscription reports (Tufts CSDD Impact Reports, Citeline Biomedtracker, CIRS briefings) and market-research pages that do not publish a denominator at any price tier. The first class would probably resolve with a subscription; the second class discloses no method to resolve to.","Tufts CSDD publications and Impact Report index pages (abstracts only); Applied Clinical Trials relay of the 2012 Tufts site study, which did resolve the origin and is recorded as [E-9553]; Citeline insights pages (paywalled); Norstella and pharmaphorum relays of the Citeline series (no method disclosed)","Roughly a third of the 232 FORCE_LOW records would resolve to a checkable origin under paid access, chiefly the Tufts CSDD and Citeline families; the market-research family would not resolve at any access level because no method exists to reach","Estimated from the composition of the unverifiable set: consultancy and academic-centre terminations, which are typically paywalled but methodologically real, are the largest single class, while aggregator and market-report terminations, which the audit found disclose no sample or denominator, are the second. The one paywalled origin I did reach in this pass, the 2012 Tufts site study [E-9553], resolved fully and turned out to be sound but fourteen years old, which is the pattern I expect the rest of that family to follow."
X-U10 Independent audit of Agent I's TRL 5-7 band,Touchlight doggybone dbDNA GMP clinical trials 2025 2026 IND use enzymatic DNA replacing plasmid regulatory status drug master file | MRD minimal residual disease accelerated approval myeloma FDA 2025 2026 first approval based on MRD endpoint guidance final qualified | in vivo CAR-T clinical dosing 2025 2026 trial status | self-driving laboratory autonomy level 3 biology 2026,Only the twelve TRL 8 entries were enumerated and tested individually. The 22 entries at TRL 7 and the 20 at TRL 6 were not each re-verified against their stated basis; three were checked opportunistically in the course of testing the TRL 8 band and none showed inflation. Enumerating the remaining 39 would require roughly as many retrievals again as this whole pass.,"Agent I's own trl_basis column, which was read in full for all 81 entries and states an observable anchor in every case; the breakthrough_candidates.csv milestone and window columns, which were enumerated programmatically for all 81; Agent G's independent evidence on TfR shuttles and viral vector capacity, which corroborated two of I's ratings from a non-overlapping source","The TRL 5-7 band is probably accurate to within one level, with the residual risk concentrated at the 6-to-7 boundary where the distinction is 'demonstrated at scale' against 'operating in the real environment'","Base rate from the enumerated band: one clear inflation and one category error in twelve TRL 8 entries, i.e. an error rate near 17 percent concentrated in entries whose basis rests on a non-final regulatory document. Applying that base rate to the 42 entries at TRL 6-7 predicts roughly seven entries with a contestable rating, most likely those whose basis cites a draft guidance, a pilot programme or a company self-report. The TRL 8 band was prioritised because a wrong rating there changes a roadmap and a wrong rating at 5 or 6 does not."
