item_id,category,metric,value,unit,phase,therapeutic_area,modality,region,sample_desc,period,trend_direction,mitigation_tech,measured_effect_size,effect_confidence_basis,regulatory_acceptance,evidence_ids,notes
F-001,enrollment_delay,median recruitment duration,13,months,III,all,all drug,global,"industry-sponsored phase III/II-III drug trials on ClinicalTrials.gov with usable recruitment dates (n=606 of 3,652)",2008-2011,baseline,,,,NA,E-5001,AACT-derived; Brogger-Mikkelsen PLOS ONE 2022
F-002,enrollment_delay,median recruitment duration,13,months,III,all,all drug,global,same cohort,2012-2015,flat,,,,NA,E-5001,IQR 8-22
F-003,enrollment_delay,median recruitment duration,18,months,III,all,all drug,global,same cohort,2016-2019,worsening,,,,NA,E-5001,IQR 11-28; p=0.0068 vs earlier periods; +38% vs 2008-2011
F-004,enrollment_delay,enrollment rate per trial,26,patients/month,III,all,all drug,global,industry phase III drug trials,2008-2011,baseline,,,,NA,E-5004,IQR 10-60
F-005,enrollment_delay,enrollment rate per trial,20,patients/month,III,all,all drug,global,industry phase III drug trials,2016-2019,worsening,,,,NA,E-5004,"p=0.37, not statistically significant"
F-006,enrollment_delay,median completed-trial elapsed length,921.5,days,III,all,all,global,"all completed interventional phase 3 registrations on ClinicalTrials.gov, completion year 2018",2018,flat,,,,NA,E-5011,"2016=882, 2017=864, 2019=937, 2023=923 days"
F-007,enrollment_delay,median completed-trial elapsed length,1004,days,II,all,all,global,"all completed interventional phase 2 registrations, completion year 2018",2018,flat,,,,NA,E-5011,phase 2 median elapsed length exceeds phase 3 in every year 2015-2023
F-008,enrollment_delay,median completed-trial elapsed length,372.5,days,I,all,all,global,"all completed interventional phase 1 registrations, completion year 2018",2018,flat,,,,NA,E-5011,range 344-404 days over 2015-2023
F-009,enrollment_delay,enrollment duration as share of phase III elapsed duration,60.8,percent,III,all,all drug,global,"derived from two different registry samples, 2016-2019",2016-2019,NA,,,,NA,"E-5060,E-5001,E-5011","AMDAHL BOUND at trial level: 18/29.61 months. Cross-sample ratio, order-of-magnitude only"
F-010,enrollment_delay,Amdahl ceiling of perfect recruitment on clinical elapsed time,24.8,percent (lower bound),I-III,all,all,global,sequential clinical elapsed time 6.25 years from registry medians,2018-2019,NA,,,,NA,E-5071,upper bound 60.8% of clinical time; 14.7-36.2% of a 10.5-year total programme
F-011,enrollment_delay,share of terminated trials citing insufficient accrual,39,percent,all,all,all,global,"905 terminated trials among 7,646 records with posted results",2013-2014 snapshot,NA,,,,NA,E-5007,57% of the 619 terminated for 'other reasons'; single largest cause
F-012,enrollment_delay,share of trials terminated among results-posted records,12,percent,all,all,all,global,"7,646 CTG results-database records",2013-2014 snapshot,NA,,,,NA,E-5007,"905/7,646"
F-013,enrollment_delay,share of non-completions attributed to poor accrual,41,percent,all,cardiovascular,all,global,cardiovascular trials in AACT started 2006-2015,2006-2015,NA,,,,NA,E-5008,independent replication of the accrual-dominance finding in a different therapeutic area
F-014,enrollment_delay,share of NCTN phase II/III trials closing under-accrued,18,percent,II-III,oncology,all,US,787 NCI National Clinical Trials Network trials opened 2000-2011,2000-2011,NA,,,,NA,E-5009,145/787; excludes closures for toxicity or interim results
F-015,enrollment_delay,trials completing within planned timeframe,20,percent,all,surgery and mixed,all,global,"2,542 randomized trials registered 2010-2014",2010-2014,NA,,,,NA,E-5010,median delay 12.2 months; fewer than half met the prespecified enrollment target
F-016,enrollment_delay,median completion delay,12.2,months,all,surgery and mixed,all,global,"2,542 randomized trials 2010-2014",2010-2014,NA,,,,NA,E-5010,
F-017,enrollment_delay,studies where actual enrollment exceeded plan,majority,qualitative,II-III,all,all,global,"Tufts CSDD sponsor-contributed benchmarking, 2023 cycle",2023,improving,,,,NA,E-5026,"COUNTER-EVIDENCE to the deterioration narrative; sponsor-contributed sample, selection bias plausible; exact n not obtainable from open abstract"
F-018,screen_failure,screen failure rate,26.4,percent,I,oncology,all,EU (France),"early-phase oncology unit, one of three French cancer centres",2025 publication,NA,,,,NA,E-5013,"other two centres 21.7% and 21.4%; causes radiological 29.2%, biological 23.8%, clinical 22.3%, PS deterioration 11.9%, administrative 10.9%"
F-019,screen_failure,typical screen failure rate,25,percent,I-III,oncology,all,global,"compiled operations benchmarks, primary samples not fully specified",not specified,NA,,,,NA,E-5014,"range 20-30%; phase III prostate ~26% (12-45%), kidney ~25%, bladder ~19%. Origin not traceable; circular_risk flagged"
F-020,screen_failure,growth in eligibility-criteria content words,95,percent,II-III,oncology,all,US,"1,197 NCI-affiliated phase II/III interventional trials",2008-2018,worsening,,,,NA,E-5012,"median 214 words (2008) to 416 words (2018); r2=0.732, p=0.0008"
F-021,screen_failure,accrual failure rate by eligibility-complexity decile,11.8 to 29.4,percent,II-III,oncology,all,US,"1,197 NCI-affiliated trials, deciles of unique eligibility word count",2008-2018,worsening,,,,NA,E-5012,"overall 19.3% (231/1,197); OR 1.09 per decile (95% CI 1.03-1.15, p=0.004); phase III OR 1.74 (p=0.01)"
F-022,screen_failure,increase in trial-eligible patients from broadened criteria,78,percent,all,oncology,all,US,"235,234 real-world patients, 22 cancer types, first-line systemic therapy",2013-2022,improving-if-adopted,eligibility-criteria broadening (ASCO-Friends / FDA),+78% eligible population; 48% eligible under strict criteria,simulated eligibility on a real-world EHR cohort (Flatiron); NOT an observed accrual effect,accepted,"E-5015,E-5016","newly eligible patients had worse rwOS (HR 1.31, 95% CI 1.27-1.34), so broadening changes the population, not only its size"
F-023,screen_failure,share of NSCLC cohort avoided from exclusion under broadened criteria,50,percent,all,oncology (NSCLC),all,US,"10,500 advanced NSCLC patients, conference presentation",2019,improving-if-adopted,eligibility-criteria broadening,~half of cohort no longer excluded,"modelled eligibility, conference abstract",accepted,E-5017,"drivers: brain metastases, prior/concurrent malignancy, reduced renal function"
F-024,screen_failure,FDA eligibility-broadening guidance status,finalized,categorical,all,oncology,all,US,FDA guidance documents on cancer trial eligibility criteria,2020-2026,improving,eligibility-criteria broadening,no published measurement of realised accrual change,none published,accepted,E-5016,"regulator endorses the change; the accrual gain remains modelled, not measured"
F-025,site_capacity,unique investigators filing FDA Form 1572,17941,investigators,all,all,all,US and global FDA-regulated,FDA BMIS database,1999,baseline,,,,NA,E-5018,
F-026,site_capacity,unique investigators filing FDA Form 1572,9387,investigators,all,all,all,US and global FDA-regulated,FDA BMIS database,2015,worsening,,,,NA,"E-5018,E-5072","-48% vs 1999; CAGR -3.97%/yr; nadir 7,509 in 2007"
F-027,site_capacity,share of investigators who are one-and-done,49.6,percent,all,all,all,US and global FDA-regulated,"172,453 unique investigators 1999-2015",1999-2015,worsening,,,,NA,E-5018,"85,455 one-and-done; 21,768 stop-and-go (12.6%); 65,231 stayers (37.8%). Only the one-and-done group grew"
F-028,site_capacity,non-US share of continuously active investigators,47.6,percent,all,all,all,non-US,'stayer' investigators in BMIS,2015,rising,,,,NA,E-5018,"16.6% in 1999; US-based stayers fell from 9,003 to 697"
F-029,site_capacity,turnover among single-filing principal investigators,50,percent,all,all,all,US and global FDA-regulated,"FDA CDER BMIS 2010-2020, Tufts CSDD analysis",2010-2020,worsening,,,,NA,E-5019,turnover defined as no further 1572 filing within four years
F-030,site_capacity,share of activated sites enrolling zero patients,11,percent,II-III,all,all,global,"~16,000 investigative sites across 151 global phase II/III trials, 10 pharma + 2 CROs",2012,NA,,,,NA,E-5020,"37% under-enroll, 39% meet target, 13% exceed; 48% fail to deliver plan"
F-031,site_capacity,share of oncology sites enrolling exactly one patient,19,percent,all,oncology,all,global (57 countries),"11,826 investigator sites across 173 cancer trials, 83,916 patients",~2020-2022,NA,,,,NA,E-5021,"2,298 sites; per-trial range 2%-76%; cost/patient $130,000 vs $14,167 at better sites. Vendor (Phesi) analysis"
F-032,site_capacity,share of activated sites contributing at most one patient,30,percent (approximate),II-III,all and oncology,all,global,combination of two non-overlapping samples,2012 and 2020-2022,NA,,,,NA,E-5073,"11% zero-enrolling + 19% single-patient; different samples, cannot be strictly summed; order-of-magnitude statement about skew"
F-033,site_capacity,median sites per trial,43,sites,III,all,all drug,global,"industry phase III drug trials, AACT (n=1,672 with valid site counts)",2012-2015,baseline,,,,NA,E-5002,
F-034,site_capacity,median sites per trial,64,sites,III,all,all drug,global,same cohort,2016-2019,rising,,,,NA,E-5002,"+49% vs 2012-2015, p=0.025; sponsors bought throughput by adding sites, not by raising per-site output"
F-035,site_capacity,participants per site per month,0.8,patients/site/month,III,all,all drug,global,industry phase III drug trials,2012-2015,baseline,,,,NA,E-5003,IQR 0.3-1.9
F-036,site_capacity,participants per site per month,0.4,patients/site/month,III,all,all drug,global,industry phase III drug trials,2016-2019,worsening,,,,NA,"E-5003,E-5065",IQR 0.2-0.6; a 50% fall in per-site productivity in four years
F-037,site_capacity,annual turnover of patient-facing site staff,35 to 61,percent,all,all,all,US,"SCRS member site networks, self-reported",2022-2023,worsening,,,,NA,E-5022,pre-crisis range 10-37%; 6-12 months of study recovery after a coordinator departs; survey n not disclosed
F-038,site_capacity,major cancer centres reporting trial-delaying staffing shortages,95,percent,all,oncology,all,US,major US cancer centres,2023,worsening,,,,NA,E-5023,survey instrument and n not restated in the accessible summary
F-039,site_capacity,decline in active investigative sites from peak,-8,percent,all,all,all,global,industry commentary; peak year and database not specified,not specified,worsening,,,,NA,E-5027,origin not verifiable; circular_risk flagged
F-040,site_capacity,active US cancer drug trials competing for patients,8600,trials,all,oncology,all,US,ClinicalTrials.gov snapshot,not specified,rising,,,,NA,E-5024,"including 1,000+ PD-1/PD-L1 trials; trade publication, snapshot date unstated"
F-041,site_capacity,competing trials for the same population as a predictor of low accrual,statistically significant predictor,qualitative,II-III,oncology,all,US,787 NCTN phase II/III trials 2000-2011,2000-2011,NA,,,,NA,E-5009,"DOCUMENTED CASE of trial-vs-trial patient competition in a peer-reviewed multivariable model; also phase III design, non-targeted drugs, multi-histology, major cancers"
F-042,site_capacity,GLP-1 receptor agonist programmes in active development,300,programmes,all,obesity and metabolic,peptide and small molecule,global,GlobalData proprietary pipeline,2024-2025,rising,,,,NA,E-5025,"documented crowding case; 2024 record year for obesity trial starts, 2025 higher. Vendor database, method unpublished"
F-043,fragmentation,share of centrally screened patients assigned to a treatment sub-protocol,17.8,percent,II,oncology (tumour-agnostic),targeted small molecule and antibody,US,"NCI-MATCH, 5,954 patients screened at 1,117 sites",2015-2023,NA,,,,NA,E-5028,"93.0% profiling success; 37.6% had an actionable alteration; 26.4% if all sub-protocols had been open simultaneously; 1,593 total assigned across 38 sub-studies"
F-044,fragmentation,screen-to-enroll ratio,5.6,patients screened per patient assigned,II,oncology (tumour-agnostic),targeted,US,NCI-MATCH,2015-2023,NA,,,,NA,E-5066,"1/0.178; 3.7 counting all 1,593 eventual assignments. This is the fragmentation tax on screening infrastructure"
F-045,fragmentation,screen-to-enroll ratio,2.7,patients screened per sub-study registration,II-III,oncology (squamous NSCLC),targeted and immunotherapy,US,"Lung-MAP SWOG S1400, 1,407 screened, 529 sub-study registrations",2014-2018,NA,,,,NA,"E-5029,E-5066",lower than NCI-MATCH because non-match sub-studies absorb biomarker-negative patients
F-046,fragmentation,cumulative patients enrolled,3000,patients,II,oncology (basket),marketed targeted agents,US,"ASCO TAPUR NCT02693535, 260+ locations",2016-2026,rising,,,,NA,E-5030,"~300 patients/year across the whole national basket study; screening denominator not published, so a match rate cannot be computed from public pages"
F-047,fragmentation,charts screened per patient enrolled via AI prescreening,841,patients screened per patient enrolled,all,oncology,all,US,"98,348 patients prescreened across 29 trials at one institution",2022-2026,NA,AI trial matching (CTPM),"825 eligible identified, 117 enrolled","observational deployment, no concurrent randomised manual-screening control",NA,"E-5067,E-5047","the sharpest available measure of matched-capacity scarcity: even with automated screening at scale, the enrolment yield is 0.12% of charts reviewed"
F-048,fragmentation,relationship between disease prevalence and phase 3 sample size,"positive, strongest in phase 3",qualitative,III,rare disease,all,global,rare-disease interventional trials in AACT,to 2017,NA,,,,NA,E-5031,"phase 3 trials in the rarest bands (<1 and 1-9 per million) had fitted mean sizes similar to phase 2; some EU orphan approvals rested on 12 patients. Prevalence caps trial size, so rarity forces design change rather than causing accrual failure per se"
F-049,fragmentation,patients with no trial available at their institution,55.6,percent,all,oncology,all,US,"13 studies, 8,883 patients, 9 academic and 4 community settings",meta-analysis published 2019,NA,,,,NA,E-5032,"95% CI 43.7-67.3. THIS IS MATCHED-CAPACITY SCARCITY, not raw-pool slack"
