bottleneck_id,bottleneck_name,binds_on_axes,current_state_metric,current_state_value,unit,trend_direction,trend_rate,trend_period,direct_constraint_evidence,elasticity_low,elasticity_point,elasticity_high,elasticity_basis,modality_variance,region_variance,evidence_count,evidence_ids,provisional_rank,evidence_sufficiency,notes
B1,Target validation / translational validity of target biology,P;C,Share of all clinical failures attributed to lack of efficacy,40-50,% of failures,mixed,Efficacy remains the largest failure class across 2015 and 2024 reviews; in-house replication rates of published target claims 11% (Amgen) and ~33% (Bayer) show no documented improvement,2012-2024,"Acts on the largest single attrition mass (40-50% of failures). Input quality is measurably poor: 6 of 53 landmark oncology papers replicated; two-thirds of Bayer validation projects inconsistent. No spare-capacity counter-evidence exists because target choice is not a capacity resource - it is a selection quality variable, so marginal return is not capped by parallelisation.",5,10,15,"eps_P = 10 x ((1-PoS)/PoS) x f x theta; PoS=0.12, f=0.45, theta=0.15-0.45. Derived record E-3081.","Binds hardest where target biology is the whole bet: small molecule and antibody programs in CNS, immunology and metabolic disease. Binds least for vaccines (antigen validity is often known) and for cell therapy in haematology (CD19/BCMA targets already clinically validated). ADC inherits target risk from the antibody plus payload-window risk. RNA and gene therapy in monogenic disease have the lowest target risk because human genetics supplies the validation.","Low region sensitivity; target selection is globally shared literature. China-origin programs are disproportionately fast-follower on validated targets, which lowers B1 exposure but raises commercial crowding.",5,E-3010;E-3011;E-3012;E-3013;E-3081,1,moderate,"Highest elasticity but lowest controllability: a 10% improvement in target validity is far harder to purchase than a 10% increase in capital. Rank reflects elasticity per M2, not tractability."
B2,"Preclinical-to-clinical translation (animal model predictivity, NAM validation)",P;T,Fully qualified drug development tools under FDA ISTAND,0,"count (16 projects in pipeline, Jan 2026)",improving,"From no formal NAM pathway pre-2022 to FDA Modernization Act 2.0/3.0, an April 2025 FDA roadmap, and the first organ-chip reaching final qualification stage by early 2026; still zero completed qualifications",2022-2026,"Constraint is the supply of validated replacement methods, not sponsor willingness: 16 ISTAND projects have produced no qualified tool. Natural experiment available in ALS, where >100 compounds active in the mouse model showed no effect on retest and 8 had already failed in patients - relaxing reliance on that model would have prevented those trials.",2,4,7,"eps_P with f=0.25, theta=0.10-0.35 (theta capped low by zero qualified NAMs), plus eps_C ~0.3. Derived record E-3082.","Binds hardest on small molecules and ADCs, where rodent and NHP tox studies are the gate. Binds moderately on antibodies, where species cross-reactivity often forces NHP-only tox and FDA has named mAbs as the first phase-down target. Binds least on cell and gene therapy, where animal models are already acknowledged as weakly predictive and regulators accept mechanistic and ex vivo human data. Vaccines sit in between (challenge models).","US moving fastest on NAM acceptance (FDA roadmap, FDAMA 3.0). EU driven by REACH/3Rs but slower on drug-specific qualification. CN and JP-KR largely follow ICH; NAM-only packages face higher rejection risk outside the US, so global programs must still run the animal package.",7,E-3014;E-3015;E-3016;E-3017;E-3018;E-3019;E-3082,4,moderate,The widely quoted 90-95% animal-to-human failure figure is advocacy-sourced with no disclosed denominator; treated here as unverified and not used in the elasticity calculation.
B3,Clinical trial patient recruitment / site capacity,T;C,Activated investigative sites that under-enrol or enrol nobody,48,"% of ~16,000 sites",worsening,Enrollment interval lengthened 36.9% between 2010 and 2020; industry-to-federal oncology enrollment ratio doubled from 4.8 to 9.6 between 2008-2012 and 2018-2022,2010-2024,"Strong queueing evidence: 1 in 10 sites enrol zero patients, 48% under-enrol, over 80% of trials miss the enrollment timeline, and Phase III conduct burns $55,716 per day so the queue is priced. IMPORTANT counter-nuance: the raw patient pool is NOT at capacity - only about 7% of cancer patients enter any study and 56% of non-enrollment is because no suitable trial exists at the patient's site. The binding sub-resource is activated, matched site capacity, not patients.",1.5,2.5,4.0,"eps_C (c=0.30-0.40, tau=0.5-0.7, delta=0.6) plus enrollment-failure rescue term (rho=0.03-0.08) times a 1.3-1.6 queueing multiplier. Derived record E-3083.","Binds hardest on cell and gene therapy (tiny eligible pools, few qualified treatment centres, apheresis and ICU infrastructure required) and on rare-disease RNA/gene programs. Binds moderately on oncology small molecule/ADC/antibody in biomarker-selected settings. Binds least on vaccines and on large common-disease small molecule programs, where site networks are deep and enrollment is fast.","US site productivity is the weakest per-site and the most expensive; EU is slower to activate but more consistent per site; CN can enrol oncology trials several times faster at large centres, which is why sponsors increasingly run first-in-human in China; JP-KR sit between EU and CN with strong per-site quality but small pools.",7,E-3020;E-3021;E-3022;E-3023;E-3024;E-3025;E-3083,7,strong,"Most-complained-about bottleneck in the industry, but its elasticity is mid-pack because it acts mainly on cost and schedule, not on probability of success. Do not conflate its visibility with its marginal return."
B4,Patient-pool fragmentation from precision medicine,T;C,Patients screened per enrolled participant in biomarker-selected trials,65,"ratio (2,500 HLA screens per ~38 enrollees, one cell therapy trial)",worsening,"Subpopulation-restricted approvals have risen over the past decade to nearly match all-comer approvals, and reach market demonstrably later",2015-2025,"Screening burden is documented (NCI-MATCH screened ~6,000 patients with a 143-gene panel to fill ~40 arms). But the constraint is bidirectional: enrichment raises PoS while shrinking the pool, so 'improvement' must be defined as screening efficiency, not as less precision. No evidence found that relaxing biomarker selection raises system output; the available evidence points the other way.",0.5,1.2,2.5,"eps_C on screening cost (c=0.15, tau=0.6, delta=0.6) plus schedule pass-through via B3. Sign flips negative if 'improvement' means looser eligibility. Derived record E-3084.","Binds hardest on cell therapy (HLA plus antigen plus fitness selection stacks multiplicatively) and on gene therapy for ultra-rare monogenic disease where the global pool can be under 1,000 patients. Binds strongly on ADC and targeted small molecules in oncology. Binds weakly on antibodies in broad immunology indications and negligibly on vaccines.",CN has the largest single-country pools for common oncology biomarkers and the fastest accrual; US pools are fragmented across many competing trials; EU fragmentation is regulatory and linguistic as much as biological; JP-KR pools are small enough that ultra-rare precision trials are frequently infeasible domestically.,4,E-3026;E-3027;E-3028;E-3084,10,moderate,"Frequently described as a bottleneck, but it is largely a chosen trade that buys probability of success. Ranked low deliberately."
B5,Regulatory review capacity and evidence standards (incl. AI/NAM evidence acceptance),T;P,On-time completion of FDA approval actions,78,"% (H2 2025, vs 85-90% historical)",mixed,"46 CDER novel approvals in 2025 and nearly all PDUFA commitments met despite ~3,500 staff terminated in April 2025; on-time rate slipped roughly 8-12 points in H2 2025",2015-2026,"NEGATIVE finding - the US review step has demonstrable spare capacity. Output held at 46-53 novel approvals through a 3,500-person workforce reduction, which is a natural experiment in the wrong direction: capacity was cut hard and throughput barely moved. Review also occupies roughly 10-12 months of a 9.1-year clinical span, capping any achievable gain. Where B5 does bind is evidence standards, not headcount: only 11 biomarkers and zero organ chips have completed qualification.",0.1,0.4,1.0,"eps_C with c=0.03, tau=0.5, delta=0.6 gives 0.09; remainder is an evidence-standard term better attributed to B2 and B15. Derived record E-3085.","Binds hardest on cell and gene therapy and on ADCs, where CMC review and inspection cycles dominate and where OTP/CBER capacity is thinner than CDER's. Binds least on small molecules and antibodies with conventional packages. Vaccines are region-politically sensitive rather than capacity-limited.",US: not capacity-binding. EU: centralised procedure adds months but is predictable. CN: median ICI indication lag of 344 days behind FDA versus 118.5 days for the EU - materially binding for patient access though not for global approval count; rare-disease lag has compressed to ~1.4 years. JP-KR: PMDA and MFDS impose local-data expectations that add a development leg rather than review time.,6,E-3029;E-3030;E-3031;E-3032;E-3033;E-3085,14,strong,This is the clearest 'widely assumed bottleneck with spare capacity' finding in the set. Rank 14 on capacity grounds; the evidence-standards component is re-scored separately as B15.
B6,"CMC / manufacturing (viral vector, plasmid, LNP, ADC conjugation, aseptic fill-finish, autologous cell therapy)",T;C;P,Candidates securing a commercial autologous CAR-T manufacturing slot,60,"% (24 of 40, single-centre myeloma cohort)",mixed,Viral vector suite capacity now modelled to exceed demand through 2031 (clinical demand CAGR ~4%); simultaneously CDMO consolidation removed six of ten Resilience sites in 2025 and ADC conjugation and fill-finish remain tight,2019-2026,"Textbook constraint for autologous cell therapy: explicit rationing (40% of eligible patients got no slot), 25% manufacturing failure in NHL, 5-8 week vein-to-vein, and documented waitlist progression and mortality. This is queueing with measured loss. Equally clear NEGATIVE finding for AAV suite capacity: independent modelling projects supply outpacing demand through 2031, so the AAV constraint is yield and cost per dose (up to 1e14 vg per patient), not suite count. Small molecule and mAb manufacturing show no queueing evidence at all.",0.8,1.8,3.5,"Segment-weighted: cell/gene ~12.5% of programs at segment elasticity 15-40 (point 25), discounted 0.4-0.6 for the share accruing to commercial supply rather than approvals, band widened for ADC. Derived record E-3086.","LARGEST modality spread of any candidate. Autologous cell therapy: elasticity 15-40% (point 25) - the binding constraint for that modality. ADC: 3-8% (payload precursor, ADC-specific fill-finish lines, bioconjugation chemists; >200 candidates and 41 in Phase III chasing the same suites). Gene therapy/AAV: 2-6% but expressed as cost per dose, not capacity. RNA/LNP: 1-3%, post-COVID capacity ample. Antibody: 0.5-2%, titres and single-use capacity have outrun demand. Small molecule: ~0-0.5%, effectively unconstrained. Vaccine: 0.5-2% outside pandemic surge.","US and EU carry most GMP cell therapy capacity but also the tightest qualified-personnel constraint. CN has the largest and cheapest vector and ADC capacity but faces geopolitical de-risking (WuXi divested its US/UK advanced therapies unit), which raises effective cost for Western sponsors. JP-KR are net importers of CGT manufacturing with growing domestic ADC and biologics capacity.",9,E-3034;E-3035;E-3036;E-3037;E-3038;E-3039;E-3040;E-3041;E-3086,9,strong,Ranked 9 at whole-system level and rank 1 for autologous cell therapy. Reporting a single system rank for B6 would misrepresent it - the M5 decomposition is the finding.
B7,"Delivery and biodistribution (extrahepatic delivery, BBB, solid-tumour penetration)",P,Injected dose reaching brain with an engineered peptide-conjugated LNP,2.23,"% ID (best-case engineered, rodent)",improving,From effectively liver-only systemic RNA delivery in the mid-2010s to demonstrated single-digit-percent CNS and muscle delivery and 6.7-10 fold enhancement with physical adjuncts,2015-2026,"Acts as a feasibility gate rather than a queue: hepatic accumulation is described as the central obstacle for extrahepatic nucleic acid therapeutics, and ultrasound-assisted delivery raising brain LNP signal 10-fold shows that delivery, not payload design, is the limiting variable in those models. No natural experiment at system scale has occurred, so the marginal-output link is inferential, and the elasticity band is correspondingly wide.",1,3,6,"eps_P with f=0.15, theta=0.10-0.40, plus an option-value term up to 1.6 for indications currently outside the feasible set. Explicitly wide band. Derived record E-3087.","Binds hardest on RNA (siRNA/ASO/mRNA) and gene therapy, where tissue tropism determines which diseases are addressable at all. Binds hard on ADC and antibody in solid tumours (penetration gradients) and on any CNS indication. Binds least on small molecules, which are the incumbent solution to delivery, and on vaccines, where the delivery target is the immune system itself. Cell therapy faces a distinct version - trafficking into solid tumours rather than crossing barriers.",Not region-sensitive; this is a physics and biology constraint. Regional variation appears only in tolerance for invasive delivery routes in trials.,4,E-3042;E-3043;E-3044;E-3087,5,weak,"Tied at rank 5 with B15. Ranked on option value: it does not slow existing programs, it deletes indication classes from the addressable set, which is the larger long-run effect on approvals."
B8,Toxicity and immunogenicity prediction failure,P;C,Share of clinical failures attributed to uncontrollable toxicity,30,% of failures,flat,Safety and toxicology were the largest attrition source across four companies for 2000-2010 and toxicity still carries ~30% of failures in 2024 reviews; no measurable improvement despite two decades of in silico tox investment,2000-2024,"Second-largest attrition mass, and unlike efficacy failure it is largely predictable in principle. Marginal-return evidence: toxicity drives roughly two-thirds of post-launch withdrawals, so each prevented late failure returns both the trial cost and the launched-asset value. Skysona's 15% malignancy rate in trial participants shows the failure mode persists in the newest modalities. Not parallelisable - a tox signal terminates the program regardless of how much capacity is available.",3,6,9,"eps_P with f=0.30, theta=0.15-0.40, plus a late-stage avoided-spend term. Derived record E-3088.","Binds hardest on small molecules (off-target, DILI, hERG) and ADCs (payload-driven ocular, haematologic and interstitial lung toxicity is the dominant ADC failure mode). Binds hard on gene therapy through insertional mutagenesis and complement activation, and on cell therapy through CRS/ICANS and secondary malignancy. Binds moderately on antibodies (immunogenicity, cytokine effects) and on RNA (innate immune activation, hepatotoxicity at dose). Vaccines carry rare but reputationally decisive safety risk.","Low region sensitivity in the biology. Regulatory tolerance differs at the margin: FDA has been more willing than EMA to accept managed risk in oncology, and CN accepts higher CAR-T toxicity thresholds in relapsed settings.",5,E-3045;E-3046;E-3047;E-3048;E-3088,2,strong,"Tied on elasticity point with B11 at 6.0. Ranked 2 rather than 3 because it acts on probability of success, which is the axis with the weakest existing tooling, whereas the capital channel already has functioning markets."
B9,Wet-lab throughput (Design-Build-Test-Learn cycle),T;C,Unfilled requests for research non-human primates at US National Primate Research Centers,66,"% of requests (up to two-thirds, since 2021)",mixed,"Automated platforms now report thousands of samples per day against roughly ten reactions per operator per day conventionally; but the NHP-dependent IND-enabling step remains supply-constrained, easing only in 2025-2026 as Cambodian imports resumed",2015-2026,"Split verdict. Screening and synthesis throughput show NO queueing - automation has raised capacity faster than demand, so this sub-step is fast rather than scarce and improving it further buys little. IND-enabling toxicology IS queueing: NPRCs cannot fill up to two-thirds of primate requests, most primates go to IND-enabling studies, and a single tox program is worth millions in CRO revenue, so allocation is genuinely rationed.",0.3,0.9,2.0,"eps_C with c=0.15-0.25, tau=0.4-0.6, delta=0.6, no queueing multiplier on screening; multiplier 2-4 applied only to the NHP sub-step (sub-step elasticity 1-4%). Derived record E-3089.","NHP dependence, and therefore the binding part of B9, is highest for antibodies and ADCs (species cross-reactivity forces NHP-only tox) and for gene therapy (NHP biodistribution). Small molecules use rodents plus one non-rodent and are less exposed. Cell therapy often cannot be tested in animals at all, so B9 barely binds. RNA sits mid-range. Screening throughput matters most for small molecules and least for cell/gene therapy.","Acute in the US, where Chinese cynomolgus export restrictions bit hardest. CN retains domestic primate supply and is the cheapest venue for NHP tox. EU has stricter primate-use rules that push work offshore. JP-KR are import-dependent and exposed to the same shock as the US.",5,E-3049;E-3050;E-3051;E-3052;E-3089,12,moderate,Prime example of 'slow is not the same as constraining'. Also the leading candidate to BECOME binding if discovery output is compressed - see report section on constraint shift.
B10,"Scarcity of high-quality experimental training data (negative data, standardization, reproducibility)",P,Protein-ligand complexes with both a structure and a measured affinity (PDBbind general set),6999,count (v2024) against 2.8M compounds in ChEMBL 36,improving,"ChEMBL grew to 2.8M compounds and 17,803 targets by release 36 (Oct 2025); the structure-plus-affinity subset remains three orders of magnitude smaller and grows slowly",2015-2025,"Constraint on the AI channel rather than on the pipeline directly. Documented mechanism: absence of unbiased negative examples and heterogeneous IC50/Ki/Kd endpoints cap achievable model precision even where volume is large. No direct natural experiment linking a data increment to an approval increment was found, so the marginal-output claim is inferential and routed through B1 and B8.",0.3,1.0,2.5,"Two-stage pass-through: 10% more high-quality data yields 2-5% relative model improvement (log-scaling), passing into B1+B8 elasticities at theta_2 = 0.1-0.3. Derived record E-3090.","Binds hardest where the design space is large and the assay cheap: small molecules and, increasingly, de novo protein and antibody design. Binds hard on antibody developability prediction, where proprietary data dominates and public sets are thin. Binds least on cell therapy and vaccines, where the design variables are not primarily molecular-structural. Gene therapy capsid engineering is data-poor but has strong directed-evolution alternatives that bypass the need for labelled data.",Public dataset availability is global. Effective access differs: CN firms benefit from larger in-house screening volumes and looser data-sharing constraints; EU GDPR constrains clinical and omics data linkage more than US or CN regimes; JP-KR have strong national biobanks but limited industrial-scale assay corpora.,5,E-3053;E-3054;E-3055;E-3056;E-3090,11,moderate,"Low elasticity today, high elasticity conditional on AI being the improvement mechanism for B1 and B8. Its rank rises sharply in the discovery-compressed scenario."
