agent,item,queries_tried,failure_reason,alt_sources_tried,best_estimate,best_estimate_basis
A,DiMasi 2016 full text: per-phase cost table read from the original article,WebSearch 'DiMasi Grabowski Hansen 2016 Journal of Health Economics innovation in the pharmaceutical industry R&D cost 2558 million'; WebFetch kinampark.com PDF mirror (twice); WebFetch sciencedirect.com/science/article/abs/pii/S0167629616000291; WebFetch pubmed.ncbi.nlm.nih.gov/26928437; WebFetch csdd.tufts.edu/cost-study; WebFetch scholars.duke.edu/display/pub1123333,The publisher page returns HTTP 403 and the only open PDF mirror returned HTTP 503 on both attempts. PubMed returned a cookie-consent stub. The Tufts CSDD page carries the citation but no methods detail.,1) ScienceDirect publisher page (403). 2) PubMed abstract (cookie wall). 3) kinampark.com PDF mirror (503 x2). 4) Tufts CSDD cost-study page (citation only). 5) Duke Scholars record (abstract text recovered). 6) Knowledge Portalia compilation (per-phase table recovered).,"Headline figures are firm: out-of-pocket 1395 USD million and capitalized 2558 USD million (2013 dollars), 106 compounds from 10 firms, 10.5 percent real discount rate, 2870 USD million including post-approval R&D, 8.5 percent real annual growth. Per-stage split: preclinical 430 out-of-pocket / 1098 capitalized; clinical 965 / 1460.","Headline figures verified from the Duke Scholars abstract record (E-1001, E-1002, E-1003), which reproduces the published abstract. The per-stage split (E-1004) comes from a compilation page and is independently corroborated by Wouters 2020, which states in its own text that DiMasi assumes a 42.9 percent preclinical share; 1098/2558 = 42.9 percent, so the two agree to the decimal. Confidence in the split is therefore materially higher than a single secondary citation would warrant, but the article text itself was not read."
A,Hay et al. 2014 Nature Biotechnology full text,WebSearch 'Hay Thomas Craighead Economides Rosenthal 2014 Nature Biotechnology Clinical development success rates for investigational drugs 10.4%'; WebFetch nature.com/articles/nbt.2786; WebFetch diyhpl.us PDF mirror,nature.com issues a 303 redirect into an identity-provider authorisation URL; the open PDF mirror returned HTTP 403.,1) nature.com article page (auth redirect). 2) diyhpl.us PDF mirror (403). 3) Semantic Scholar record (metadata only). 4) Knowledge Portalia compilation (phase rates recovered).,"Phase I 64.5 percent, Phase II 32.4 percent, Phase III 60.1 percent, Phase I-to-approval 10.4 percent; 835 drug developers, 2003-2011, lead-indication weighted.","Figures recovered from a compilation page that names the article and reproduces its numbers (E-1022), and the 10.4 percent headline is independently confirmed by Wong/Siah/Lo 2019, which cites Hay's 10.4 percent when contrasting it with its own 13.8 percent. Two independent restatements agree, so the numbers stand; the article text was not read directly."
A,BIO / Informa / QLS 2011-2020 report read from the BIO-hosted PDF,WebSearch 'BIO QLS Informa Clinical Development Success Rates 2011-2020 report Phase transition probability likelihood of approval'; WebFetch go.bio.org/rs/490-EHZ-999/images/ClinicalDevelopmentSuccessRates2011_2020.pdf; WebFetch readkong.com mirror,The BIO-hosted PDF is a 4.5 MB image-heavy file whose text layer did not extract through the fetch tool.,"1) go.bio.org PDF (binary, no text extracted). 2) readkong.com full mirror (all tables recovered). 3) cphi-online.com news summary (headline LOA only). 4) bio.org landing page (abstract only).","All required figures were obtained: LOA from Phase I 7.9 percent; transitions 52.0 / 28.9 / 57.8 / 90.6; 12,728 transitions, 9,704 programmes, 1,779 companies, Jan 2011 to Nov 2020; full modality and disease-area breakdowns; phase durations summing to 10.5 years.",The readkong mirror is a page-by-page reproduction of the same document and its headline LOA of 7.9 percent matches the independently reported figure in the CPHI summary and in the Citeline lineage commentary. Recorded as E-1023 through E-1025 with the mirror URL as a provenance hop alongside the BIO original.
A,Ringel et al. 2020 'Breaking Eroom's Law' numeric series (NMEs per billion USD R&D by period),WebSearch 'Ringel Scannell Baedeker Schulze 2020 Nature Reviews Drug Discovery Breaking Eroom's Law R&D efficiency NME per billion'; WebFetch media.nature.com magazine-assets PDF,"The PDF fetched successfully but its three panels are raster figures with no underlying data table, and the small-model summary of the file produced period figures that could not be tied to any caption or axis label in the extracted text. Asserting those numbers would be inventing data.",1) media.nature.com PDF (figures are images). 2) nature.com article page (auth redirect). 3) PubMed record 32300238 (title and citation only). 4) ResearchGate record (request-full-text wall).,"The paper's thesis and its three metrics are recorded without numbers (E-1044). For the approvals-versus-spend question the series is instead built directly from two primary series: FDA approval counts 2000-2024 (E-1038, E-1039) and PhRMA member R&D 1984-2022 (E-1041), combined in E-1098.","Building the ratio from the two underlying primary series is stronger than quoting a secondary chart, because the denominator caveats can be stated explicitly. E-1098 records that the ratio uses nominal dollars, mismatched sponsor populations and no lag, and therefore is not a productivity estimate."
A,Light and Warburton 2011 full text and the derivation of their median cost figure,WebSearch 'Light Warburton 2011 Demythologizing the high costs of pharmaceutical research BioSocieties criticism DiMasi tax subsidies selection bias median cost'; WebFetch link.springer.com/article/10.1057/biosoc.2010.40; WebFetch health-rights.org record page,Springer issues a 303 redirect into an identity-provider authorisation URL. The open repository record carries a one-paragraph description without the abstract or the cost derivation.,1) Springer article page (auth redirect). 2) health-rights.org record (description only). 3) ResearchGate record (request-full-text wall). 4) Semantic Scholar record (metadata only).,"Their central methodological objection is verified: the Tufts estimate is built on a high-cost subsample and then generalised, which they argue inflates the average roughly sevenfold; the reported median figure is 59.4 USD million.","Recorded as E-1010 with circular_risk set true and a derivation note stating that provenance is only two hops. The 59.4 million figure is carried in the CSV strictly as the low bound of the published range and is never averaged with the other estimates. The qualitative objection is separately corroborated by Wouters 2020, which independently shows the observed preclinical share (12.4 percent median) is far below DiMasi's assumed 42.9 percent, an assumption-driven inflation of the same kind."
A,"Sabatini and Chalmers 2023 cell and gene therapy cost: full method, sample and discount rate",WebSearch 'cell and gene therapy clinical development time cost per approval peer-reviewed study 2023 2024 duration IND to BLA years'; WebSearch 'Sabatini Chalmers 2023 Cost of Biotech Innovation cell gene therapy R&D cost estimate million per approval clinical stage'; WebFetch link.springer.com/article/10.1007/s40290-023-00480-0; WebFetch ouci.dntb.gov.ua record,Springer issues a 303 authorisation redirect. The open bibliographic aggregator carries the reference list but not the abstract.,1) Springer article page (auth redirect). 2) ouci.dntb.gov.ua record (references only). 3) ResearchGate record (request-full-text wall). 4) ELSIhub publication record (citation only).,"1,943 USD million to bring a new cell or gene therapy to market; 25 assets identified, 11 with enough disclosure for clinical-stage costing; CAR-T and AAV analysed as sub-cohorts. The discount rate is not recoverable.","Recorded as E-1045 with circular_risk true, coc_included true but discount_rate left blank in the CSV rather than guessed. The figure sits between the Wouters small-molecule median (985 million) and the DiMasi capitalized estimate (2558 million), which is the ordering one would expect for a modality with heavier CMC content, so it is internally plausible even though unverified at source."
A,CBER approvals as a clean annual series 2000-2025,WebSearch 'CBER approvals per year 2020 2021 2022 2023 2024 2025 cell and gene therapy BLA licensure count Office of Therapeutic Products'; WebSearch '2025 Biological Approvals CBER FDA number of BLA approvals 2025 gene therapy cell therapy vaccines list'; WebFetch fda.gov/vaccines-blood-biologics/development-approval-process-cber/2025-biological-approvals; WebFetch fda.gov approved-cellular-and-gene-therapy-products,The CBER 2025 biological approvals page returned HTTP 403 and the approved cellular and gene therapy products listing returned HTTP 401 through the fetch tool.,"1) FDA CBER 2025 Biological Approvals page (403). 2) FDA approved cellular and gene therapy products page (401). 3) FDA CBER RMAT approvals page (search-surfaced, not fetched to completion). 4) Our World in Data combined CDER-plus-CBER series (recovered in full). 5) Cell & Gene trade analysis of FDA actions (recovered).","A CDER-plus-CBER combined annual series 2000-2024 is recorded in full (E-1039). Subtracting the CDER-only series (E-1038) year by year gives an implied CBER contribution of 17 in 2000, 12 in 2024, 17 in 2023 and 8 in 2022. For cell and gene therapy specifically: 8 novel approvals in 2024, 7 in 2023, roughly 35 cumulative (E-1053).","The subtraction is arithmetic on two series from the same FDA-derived dataset, so it is internally consistent, but it is flagged here rather than written into the evidence ledger as a fact because the two series may use slightly different inclusion rules for CDER-reviewed biologics. The cell and gene therapy counts come from trade analysis of FDA actions and are the best available until the CBER pages become fetchable."
A,Korea MFDS annual new drug approval counts,WebSearch 'Korea MFDS new drug approvals per year Japan PMDA number of new active substances approved 2023 2024 review time months'; WebFetch mfds.go.kr/eng/brd/m_19/view.do?seq=70440 (2024 Drug Approval Report landing page),The MFDS English landing page carries only a download link; the report itself is a Korean-language PDF attachment that the fetch tool did not retrieve.,"1) MFDS 2024 Drug Approval Report landing page (link only). 2) MFDS English products board index. 3) CIRS R&D Briefing 101 (covers six agencies, Korea not among them). 4) Trade coverage of the 2025 MFDS review reform (recovered).",The verified Korea datapoint is the review-timeline reform: target total approval time cut from about 420 days to about 295 days effective 1 January 2025 (E-1051). An observed annual count of MFDS novel approvals is not established.,"For the JP-KR region the quantitative anchor in this dataset is therefore PMDA, where CIRS gives 53 new active substances and a 290-day median approval time for 2024 (E-1032, E-1050). Korea is represented by the regulatory-timeline datapoint only, and the CSV says so in the row rather than carrying an invented approval count."
A,China NMPA observed median review time on a basis comparable to the CIRS submission-to-approval metric,WebSearch 'NMPA China CDE annual drug review report 2024 number of innovative drugs approved review time days'; WebFetch ascpt.onlinelibrary.wiley.com/doi/10.1002/cpt.70084; WebFetch nature.com/articles/d41573-025-00028-8,"The Wiley article returned HTTP 403 and the Nature commentary issues a 303 authorisation redirect. CIRS covers six agencies and does not include NMPA, so no like-for-like median exists in the comparative dataset.","1) Wiley Clinical Pharmacology and Therapeutics article (403). 2) Nature Reviews Drug Discovery NMPA 2024 commentary (auth redirect). 3) CIRS R&D Briefing 101 (NMPA not covered). 4) NMPA English site announcements on clinical trial review optimisation (recovered, but cover IND not NDA timelines).","China is represented by an approval-volume datapoint (228 NDAs approved in 2024: 123 chemical, 93 biological, 12 traditional Chinese medicine, E-1049) and by the published standard NDA review target of roughly 12 to 18 months from acceptance. The CSV records the 15-month midpoint explicitly labelled as a target rather than an observed median.","Labelling it a target keeps it from being read as comparable to the FDA 356-day and EMA 430-day observed medians. The NMPA 2024 NDA count also uses a broader denominator than FDA novel drug approvals, which the CSV row states."
A,"Cost decomposed by modality at the individual stage level (ADC, RNA, vaccine, cell, gene)",WebSearch 'gene therapy AAV manufacturing cost per dose CMC development cost timeline peer-reviewed molecular therapy 2024'; WebSearch 'cost of goods manufacturing cost CAR-T autologous cell therapy per patient batch failure rate vein-to-vein time weeks published'; WebSearch 'cell and gene therapy clinical development time cost per approval peer-reviewed study'; WebFetch ascopubs.org/doi/10.1200/EDBK_397912; WebFetch cell.com molecular therapy article,"No published source decomposes per-stage development cost across all seven required modalities. The stage-resolved cost models (DiMasi, Paul, Sertkaya) pool modalities or split only small molecule versus large molecule. The ASCO educational review returned 403 and the Molecular Therapy article returned 403.","1) DiMasi 2016 via compilation (small versus large molecule split only, recovered). 2) Sertkaya 2024 (therapeutic area split, no modality split). 3) Sabatini and Chalmers 2023 (cell and gene aggregate only). 4) ASCO Educational Book CAR-T economics review (403). 5) Molecular Therapy gene therapy development review (403). 6) Insights Bio CAR-T cost analysis (recovered). 7) American Pharmaceutical Review AAV cost modelling (recovered).","What is established by modality: probability of success at the modality level for ten modalities from the BIO 2011-2020 report (E-1024); Phase I to III cost split by large versus small molecule from DiMasi (E-1004); whole-programme cost for cell and gene therapy (E-1045); and unit manufacturing economics for CAR-T (95,780 USD per dose cost of goods, 3 to 5 week vein-to-vein) and AAV (about 2 USD million per 200-litre cGMP batch).","Where a source does not decompose, the CSV modality field says not_decomposed and the notes column says the source does not decompose by that dimension. No modality split has been invented anywhere in the dataset. The modality signal that IS well established is on the P axis, not the C axis, and that is itself an analytically useful result."
