item,queries_tried,failure_reason,alt_sources_tried,best_estimate,best_estimate_basis
Aseptic fill-finish global utilization rate (percent),sterile injectable aseptic fill-finish capacity utilization shortage lead time 2025 2026 | global vaccine manufacturing capacity doses 2025 utilization surplus fill finish | WebFetch of L.E.K. 'Aligning Aseptic Fill/Finish Operations With Global Pharmaceutical Demand',"No organization publishes an installed-capacity denominator for aseptic filling, so no utilization ratio can exist publicly. L.E.K. explicitly relies on qualitative assessment and discloses no capacity, CAGR, gap or lead-time numbers. Trade sources repeat 'demand outpaces capacity' with no measurement.","L.E.K. Consulting insight page (fetched, no numbers); PDA PDA-Letter supply chain fragility article; Pharmaceutical Technology 'How biopharma is scaling sterile manufacturing in 2026'; Grand View sterile injectable CMO report (paywalled methodology); outsourcedpharma.com fill/finish capacity updates","u = 0.85, saturation multiple 1.12x","Inferred under the stated proxy rule from the consistent 5-10 year demand-exceeds-supply framing plus a 2-3 year build lag and format non-fungibility. Entered in the CSV and in E-6066 as an assumption, explicitly not an observation."
ADC bioconjugation suite utilization or booking lead time,ADC bioconjugation capacity constraint booking lead time months CDMO 2025 utilization | 'bioconjugation' capacity fully booked sold out ADC CDMO 2025 waiting list expansion Lonza Visp Samsung | WebFetch of C&EN 'Drug services companies ride the ADC wave',Every source asserts scarcity in adjectives only. C&EN fetch returned HTTP 406. No CDMO discloses conjugation suite utilization; Lonza's annual report gives suite counts and market CAGR but not utilization or slot lead time.,C&EN Aug 2026 ADC CDMO article (HTTP 406); Lonza 2025 annual report Integrated Biologics and Advanced Synthesis pages; Samsung Biologics ADC service page; IntuitionLabs ADC CDMO comparison; Persistence/Towards Healthcare market reports (methodology not public),"u = 0.80, saturation multiple 1.19x now, 1.67x after announced expansions","Anchored on two attested facts rather than the adjectives: Lonza is adding 2 suites to 5 at Visp (+40% at a flagship site), and WuXi Biologics' ADC programme count grew ~30% in one year to 252. Capacity growth of ~40% against demand growth of 20-30%/yr implies roughly two years of relief, consistent with a tight-but-not-binding regime."
Innovator small-molecule API / oral solid dose utilization rate,small molecule API manufacturing capacity utilization 2025 overcapacity CDMO oral solid dose slack | Lonza 2025 annual report biologics capacity utilization rate percent,No source reports utilization for innovator small-molecule API. Market reports give revenue and CAGR only. The absence of any lead-time or shortage signal in a USD 71bn market is informative but is not a measurement.,Grand View small molecule innovator API CDMO report; Mordor pharmaceutical CDMO report; PharmaSource small molecule CDMO overview; Pharma's Almanac US CDMO expansion wave analysis; outsourcedpharma.com small molecule capacity updates,u = 0.10 against total installed base available to innovator IND work; saturation multiple ~10x,Bounded below by the observation that no small-molecule programme delay attributable to API slot scarcity appears in the CRL record or the FY2025 warning-letter record. This is the loosest number in the deliverable and is labelled as such in E-6069 and in CSV row G-001.
Aggregate global installed AAV and lentiviral suite count with a public methodology,AAV viral vector manufacturing capacity overbuild utilization CDMO 2025 2026 excess | viral vector manufacturing capacity exceeds demand gene therapy consolidation site closures 2025 2026 Resilience Charles River | lentiviral vector manufacturing cost per batch capacity constraint 2025 CAR-T supply,"The only capacity and utilization statements originate in paid market reports (Mordor, Roots Analysis, SNS Insider) and in AI-generated aggregator pages (IntuitionLabs), none of which disclose a sample or a denominator. The '<50% utilization' figure recurs across outlets with no traceable primary source, so it is recorded with circular_risk true.",Mordor Intelligence viral vector manufacturing report; IntuitionLabs viral vector CDMO comparison; SNS Insider AAV CDMO release via GlobeNewswire; Roots Analysis viral vector and plasmid report; BioProcess International facilities/capacity coverage; OXB and Fierce Pharma transaction reporting,"AAV suite utilization ~50%, saturation multiple 1.9x static and ~1.5x net of 2025 contraction","Not adopted from the market reports on their own authority. Corroborated by two legally consequential events that no market report controls: National Resilience closing 6 of 10 sites in 2025, and an FDA-approved 125,000 sq ft commercial viral vector plant transacting at USD 4.5m. A distressed asset price is a market-clearing observation and is the strongest available proxy for excess supply."
Numeric utilization of installed mRNA drug substance lines,mRNA manufacturing capacity idle underutilized post-pandemic 2025 doses installed | global vaccine manufacturing capacity doses 2025 utilization surplus fill finish,"Sources state lines run at 'a fraction of nameplate' and that a major manufacturer is downsizing, but publish no percentage and no nameplate denominator. Company filings disclose impairments and network restructuring, not line utilization.",BioProcess International Moderna network coverage; BioPharma APAC 'After the Rush' capacity hangover analysis; Frontiers in Virology mRNA manufacturing review; WHO global vaccine market landscape Nov 2025 PDF; Nature commentary on mRNA study cancellations,"u = 0.16, saturation multiple 6x","Assumption entered explicitly in E-6068 and CSV row G-080 to make the arithmetic auditable. The qualitative direction (large idle capacity) is corroborated by an operator actively closing capacity, which is a costly and therefore credible signal."
CMC share of the 89 CRLs issued for pending or withdrawn applications,FDA published complete response letters CMC manufacturing facility share percent analysis | 'complete response letters' FDA 2025 published 202 CRLs database transparency analysis deficiency categories,"FDA released the second batch in September 2025 but no published analysis decomposes those 89 letters by deficiency type. This is precisely the cohort needed to answer how often manufacturing prevents rather than delays an approval, and it has not been analysed by anyone located.",openFDA Complete Response Letters transparency API page; FDA press announcement 10 July 2025; Morgan Lewis Oct 2025 advisory; Arnold & Porter Sept 2025 advisory; DLA Piper Aug 2025 publication; FDA Law Blog July 2025 post; Pharma Manufacturing analysis of the first 202,Manufacturing is the terminal cause of roughly 20% of permanent non-approvals,"Taken from the independent Parexel figure that CMC deficiencies account for ~20% of non-approval decisions, cross-checked for direction against the fact that CMC is the second most common cause of oncology IND clinical holds. Recorded as E-6027 and carried in E-6074 with the selection caveat stated."
Global vaccine installed dose capacity and utilization,global vaccine manufacturing capacity doses 2025 utilization surplus fill finish | mRNA manufacturing capacity idle underutilized post-pandemic 2025 doses installed,"Center for Global Development and WHO both document that global vaccine manufacturing capacity is poorly defined, inconsistently measured and insufficiently understood. There is no authoritative installed-dose denominator to divide into.",WHO Global market landscape of vaccine manufacturing and procurement (Nov 2025 PDF); CGD 'What We Know (and Don't Know) About Global Vaccine Manufacturing Capacity'; CGD 'Six Blind Spots' blog; Launch and Scale Speedometer vaccine manufacturing tracker; PLOS Global Public Health capacity prioritisation paper,Constraint verdict 'unknown' for bulk vaccine drug substance; 'near_binding' for the sterile fill-finish step vaccines share with every other injectable,"The fill-finish judgement is transferred from the shared fill-finish analysis, which is the step vaccine sponsors are actually reported to be queueing for. Bulk antigen capacity is left explicitly unknown rather than guessed."
Quantified rate of clinical trial delays attributable to manufacturing or CMC,percentage of clinical trial delays caused by manufacturing CMC supply survey drug development | FDA drug GMP warning letters 2025 number issued inspections 483 preapproval inspection failure delay approval,No survey with a stated sample and denominator was located. Consultancy blogs assert 'three to six months' typical delay with no cited study. Tufts CSDD and PAREXEL surveys on this specific question are not publicly available.,Parexel CMC strategy insight; Clarivate CMC submissions blog; Applied Clinical Trials 'Drug Development on Rails'; Trialonic CMC clinical trial delays page; Synerg Biopharma quality gaps posts; DSI Pharmatics CMC delay article,3-6 months per affected programme; CMC is the second most common cause of oncology IND clinical holds,"The 3-6 month figure recurs across independent consultancies and is consistent with the observed one-review-cycle penalty in the CRL data. The clinical-hold ranking is the only ordinal fact with a regulatory origin, and it is what the estimate is anchored to."
"Explicit utilization percentages in Lonza, Catalent/Novo, Thermo Fisher and Charles River filings","Lonza 2025 annual report biologics capacity utilization rate percent | WebFetch of Lonza Annual Report 2025 Integrated Biologics page | Samsung Biologics 2025 annual results capacity 784,000 liters utilization rate plant 5 | WuXi Biologics 2025 annual results backlog total capacity liters new projects added","Of the major CDMOs, only Samsung Biologics states utilization in plain language ('full utilization across Plants 1 through 3'). Lonza reports sales growth, contracting volumes and capacity additions but no utilization ratio. WuXi reports backlog and project counts, not utilization. Catalent is now private under Novo Holdings and no longer files segment capacity data.",Lonza annual report 2025 Integrated Biologics and Advanced Synthesis pages (fetched); Lonza FY2025 results deck via SGX; Samsung Biologics FY2025 PR (fetched); WuXi Biologics FY2025 results and earnings deck; SEC EDGAR full-text search,Commercial-scale mammalian utilization at or near 95%; clinical-scale mammalian utilization ~80%,"Samsung's 'full utilization' across four plants is the one legally-attested anchor and is used as the commercial-tier value. The clinical-tier value is inferred from Lonza simultaneously reporting high contracting volumes and continuing to commission new 2,000 L trains, which is behaviour consistent with high-but-not-saturated early-phase utilization."
Annual flow of new CBER cell and gene therapy INDs,CBER number of cell and gene therapy INDs active 2025 FDA OTP submissions per year | FDA number of INDs filed per year 2024 2025 commercial IND submissions CDER CBER statistics,"FDA publishes an 'INDs with Activity' series for CDER but no equivalent annual submission series for CBER OTP. Only the stock of active INDs (>2,500 CGT, ~1,300 gene therapy) is disclosed.",FDA INDs with Activity page; FDA CBER OTP listening meeting materials via Friends of Cancer Research; Cell & Gene 2025 outlook article; BLA Regulatory CDER IND activity analysis; FDA submission statistics page,Roughly 350 new commercial CGT INDs per year,"Derived as 2,500 active INDs divided by an assumed ~7-year average active IND life. Stated as a derived assumption in E-6060 and used only to size the Part 4 denominator, where it changes no ordinal conclusion."
