stage_id,stage_name,modality,region,axis,metric,value,unit,spread_or_ci,cost_basis,coc_included,discount_rate,denominator_def,sample_desc,source_year,evidence_ids,notes
S1,target identification & validation,not_decomposed,not_decomposed,T,stage cycle time,12,months,NA,NA,NA,NA,modelled mean cycle time for one work-in-process unit,"13 large pharma cos, Pharmaceutical Benchmarking Forum + Lilly internal, mid-2000s",2010,E-1017,Paul 2010 is the only stage model in this table that resolves target ID separately; source does not decompose by this dimension
S1,target identification & validation,not_decomposed,not_decomposed,P,probability of technical success to next stage,80,percent,NA,NA,NA,NA,target-to-hit transition in a WIP model,13 large pharma cos,2010,E-1018,source does not decompose by this dimension
S1,target identification & validation,not_decomposed,not_decomposed,P,cumulative probability from this stage to approval,4.1,percent,NA,NA,NA,NA,product of all downstream Paul 2010 stage probabilities,13 large pharma cos,2010,E-1097;E-1018,derived record
S1,target identification & validation,not_decomposed,US,C,"share of a single year of member R&D outlay (pre-human, incl. S1-S4)",15.9,percent,NA,out_of_pocket,false,NA,"pre-human/pre-clinical line of PhRMA functional split; covers S1 through S4 combined, cannot be split further","PhRMA member companies, 2022 self-reported survey",2023,E-1042,"PhRMA does not separate target ID, screening, lead optimisation and preclinical; recorded as one combined figure rather than an invented split"
S2,hit discovery / screening,not_decomposed,not_decomposed,T,stage cycle time,18,months,NA,NA,NA,NA,hit-to-lead cycle time,13 large pharma cos,2010,E-1017,source does not decompose by this dimension
S2,hit discovery / screening,not_decomposed,not_decomposed,P,probability of technical success to next stage,75,percent,NA,NA,NA,NA,hit-to-lead transition,13 large pharma cos,2010,E-1018,source does not decompose by this dimension
S2,hit discovery / screening,not_decomposed,not_decomposed,P,cumulative probability from this stage to approval,5.1,percent,NA,NA,NA,NA,0.75*0.85*0.69*0.54*0.34*0.70*0.91,13 large pharma cos,2010,E-1097;E-1018,derived from E-1018 chain
S3,lead optimization,not_decomposed,not_decomposed,T,stage cycle time,24,months,NA,NA,NA,NA,lead optimisation cycle time; longest single discovery stage in the model,13 large pharma cos,2010,E-1017,source does not decompose by this dimension
S3,lead optimization,not_decomposed,not_decomposed,P,probability of technical success to next stage,85,percent,NA,NA,NA,NA,lead optimisation transition,13 large pharma cos,2010,E-1018,source does not decompose by this dimension
S3,lead optimization,not_decomposed,not_decomposed,P,cumulative probability from this stage to approval,6.8,percent,NA,NA,NA,NA,0.85*0.69*0.54*0.34*0.70*0.91,13 large pharma cos,2010,E-1097;E-1018,derived from E-1018 chain
S4,"preclinical (IND-enabling tox, CMC for IND)",small_molecule,US,T,time from compound synthesis to first human testing,31.2,months,NA,NA,NA,NA,mean over the DiMasi cost-model sample,"106 compounds, 10 firms, first-in-human 1995-2007",2016,E-1005;E-1001,This is the pre-IND clock used in both the DiMasi and Sertkaya models
